binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl_methoxy_C,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
275.37971784452395,9158.291117739363,9158.291117739363,256.0749946664283,90.34294009829412,18.930010074428292,5.434891832101262,21.188554335063742,9550.26250874568,-391.9713910063165
275.47971784452386,8790.359254760213,9211.149276367603,261.57081813219196,92.09017437373008,19.23031082289011,5.514979887279226,21.462615445145214,9611.01817502884,-820.6589202686264
275.579717844524,9152.434096119194,9264.007434995963,267.2451631637822,93.88850981770564,19.537809716993547,5.596850335394168,21.742011487731094,9672.01777951757,-519.5836833983758
275.6797178445239,8537.507727463659,9316.865593624203,273.10583182399677,95.73995551627989,19.852738502129316,5.680556431831955,22.0268813850339,9733.271557283475,-1195.7638298198162
275.77971784452404,9022.139127875467,9369.723752252565,279.1610562855082,97.64662010565623,20.17533831917672,5.766153434778113,22.317368595745865,9794.79028899343,-772.651161117963
275.87971784452395,8306.349184072182,9422.581910880805,285.4195275444074,99.61071774039131,20.505860165004968,5.8536986962315645,22.613621293356072,9856.585336320195,-1550.2361522480132
275.97971784452386,9007.180432015411,9475.440069509044,291.89042639086813,101.63457448257914,20.84456537951601,5.943251757880569,22.91579255267995,9918.668680072567,-911.4882480571559
276.079717844524,8724.658245855546,9528.298228137404,298.58345684120496,103.7206351461122,21.191726160970834,6.034874452134708,23.2240405450174,9981.052961282845,-1256.3947154272992
276.1797178445239,9092.70285065784,9581.156386765644,305.50888225711327,105.87147063342171,21.547626111498456,6.128631008634112,23.538528742403997,10043.751525518715,-951.0486748608746
276.27971784452404,9410.106928590636,9634.014545394004,312.67756440141676,108.0897858055893,21.9125608148319,6.224588166579939,23.859426131448195,10106.77847071387,-696.6715421232348
276.37971784452395,8557.835991895907,9686.872704022244,320.1010057053211,110.37842793039319,22.286838448442545,6.322815293246787,24.186907437251694,10170.1486988369,-1612.312706940993
276.47971784452386,8799.500208035046,9739.730862650484,327.7913950523706,112.74039575736755,22.670780432457803,6.4233845090754516,24.52115335798045,10233.877971759735,-1434.3777637246894
276.579717844524,8579.377148645355,9792.589021278844,335.7616574162674,115.17884927338409,23.064722117885793,6.526370819760915,24.862350810647825,10297.98297171679,-1718.6058230714352
276.6797178445239,8562.116117832482,9845.447179907085,344.02550772706127,117.69712019764023,23.469013516898574,6.631852255788211,25.210693188731756,10362.481366793205,-1800.365248960723
276.77971784452404,9305.516063176352,9898.305338535445,352.5975093815755,120.29872328072526,23.884020078144346,6.739910019902195,25.566380632287192,10427.391881928079,-1121.875818751727
276.87971784452395,9323.89977699013,9951.163497163685,361.493137859687,122.98736847864056,24.31012351026302,6.850628643024336,25.92962031122767,10492.734375966527,-1168.8345989763966
276.97971784452386,8752.49056924312,10004.021655791925,370.7288499613451,125.7669740800848,24.747722657087603,6.964096149181381,26.300626722537114,10558.529925362162,-1806.0393561190413
277.079717844524,8698.582007098814,10056.879814420285,380.32215923702984,128.64168087291694,25.197234428243675,7.080404230039116,26.67962200217542,10624.80091519069,-1926.218908091876
277.1797178445239,8988.606895450921,10109.737973048525,390.29171825142157,131.6158674447291,25.659094789197614,7.199648429688102,27.06683625251904,10691.57113821608,-1702.9642427651597
277.27971784452404,9562.997021313262,10162.596131676884,400.6574083951659,134.69416672231054,26.13375981514068,7.321928340377662,27.462507886232135,10758.86590283611,-1195.8688815228488
277.37971784452395,9260.07838241884,10215.454290305124,411.4404380437597,137.88148386552075,26.621706813424673,7.447347809938164,27.86688398749038,10826.712150825259,-1566.6337684064183
277.47971784452386,8923.461988153545,10268.312448933364,422.66344996009263,141.18301564372726,27.12343551972189,7.576015161704184,28.280220691588625,10895.1385859102,-1971.6765977566538
277.579717844524,8564.901882539742,10321.170607561726,434.35063894519965,144.60427143631173,27.639469373461782,7.7080434277989704,28.702783583980864,10964.175814328479,-2399.273931788737
