binding_energy_eV,raw_intensity,background,component:carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22324.718396099608,21898.972584286665,327.2346524881289,98.45989727259429,22324.667134047388,0.051262052220408805
525.1000537109375,23242.960913490562,21898.972584286665,338.09215677679344,101.03428298898498,22338.099024052444,904.8618894381179
525.2000537109375,22344.154421946037,22091.985281354864,349.49654538335534,103.71067724470714,22545.192503982926,-201.03808203688823
525.3000537109374,22635.221001804297,22091.985281354864,361.4849881965785,106.49452519472291,22559.964794746167,75.2562070581298
525.4000537109374,22730.460530794986,22108.027825370595,374.09785074404834,109.39163908569044,22591.517315200334,138.94321559465243
525.5000537109374,23030.91980703019,22137.65599158425,387.3790277809056,112.40822826151962,22637.443247626677,393.4765594035125
525.6000537109375,22385.290480024432,22221.580826112862,401.3763179780125,115.55093205997636,22738.50807615085,-353.21759612641836
525.7000537109375,22699.99781918115,22221.580826112862,416.1418455619706,118.82685592191194,22756.549527596744,-56.551708415594476
525.8000537109374,23000.213267630406,22221.580826112862,431.7325357075515,122.24361107542192,22775.556972895836,224.6562947345701
525.9000537109374,22985.829257495076,22269.49340059386,448.21065160336417,125.8093582036799,22843.513410400905,142.31584709417075
526.0000537109374,22284.518074024676,22299.841366513734,465.64440243860037,129.5328555582306,22895.018624510565,-610.5005504858891
526.1000537109375,23243.392179822342,22299.841366513734,484.1086331364032,133.42351204052764,22917.373511690665,326.01866813167726
526.2000537109375,22494.027926770257,22369.376849872264,503.6856085377212,137.49144584423598,23010.553904254222,-516.5259774839651
526.3000537109374,23111.97355420484,22369.376849872264,524.4659069847677,141.74754933125053,23035.590306188282,76.38324801655835
526.4000537109374,22855.93403986147,22385.66099765148,546.5494409433069,146.2035609069756,23078.413999501765,-222.47995964029542
526.5000537109374,22731.89017736475,22385.66099765148,570.0466255356768,150.8721447672032,23106.57976795436,-374.68959058961264
526.6000537109375,22632.180248036562,22385.66099765148,595.0797197554763,155.76697951274198,23136.5076969197,-504.32744888313755
526.7000537109375,22770.08435613843,22385.66099765148,621.7843698497129,160.9028567711046,23168.348224272297,-398.2638681338649
526.8000537109374,23153.8413552988,22385.66099765148,650.3113900803331,166.29579113113297,23202.26817886295,-48.426823564150254
526.9000537109374,23138.833560648523,22385.66099765148,680.8288230596539,171.96314289024122,23238.452963601376,-99.6194029528524
527.0000537109374,23325.581314116593,22385.66099765148,713.5243304185321,177.92375533991452,23277.109083409927,48.47223070666587
527.1000537109375,22914.162028305756,22395.99485122791,748.6079751651649,184.1981085796681,23328.800934972744,-414.63890666698717
527.2000537109375,22642.725141447158,22395.99485122791,786.3154703924398,190.8084921592786,23373.11881377963,-730.3936723324732
527.3000537109374,23158.616429603542,22395.99485122791,826.9119860899874,197.77919921319665,23420.686036531097,-262.06960692755456
527.4000537109374,22527.265397397685,22395.99485122791,870.6966286647223,205.13674517971708,23471.82822507235,-944.5628276746647
527.5000537109374,23274.995426330308,22395.99485122791,918.007740106652,212.91011470341115,23526.912706037976,-251.91727970766806
527.6000537109375,22746.20839372331,22395.99485122791,969.2292129588683,221.13104091867623,23586.355105105456,-840.1467113821454
527.7000537109375,22915.890438061208,22395.99485122791,1024.798098078284,229.83432202300196,23650.6272713292,-734.7368332679907
527.8000537109374,23093.92615932184,22395.99485122791,1085.2139233855237,239.0581808949058,23720.26695550834,-626.3407961865014
527.9000537109374,23367.240078161572,22395.99485122791,1151.0503977951405,248.8446745214246,23795.889923544477,-428.64984538290446
528.0000537109374,23065.998592069947,22395.99485122791,1222.9706436637484,259.2401612086182,23878.20565610028,-812.2070640303318
528.1000537109375,23284.245329441306,22395.99485122791,1301.7479518475127,270.2958350000463,23968.03863807547,-683.7933086341654
528.2000537109375,23098.227988492486,22395.99485122791,1388.2955558837975,282.0683384752776,24066.358745586986,-968.1307570944991
528.3000537109374,23518.941541757264,22395.99485122791,1483.7114749749658,294.6204672118435,24174.326793414722,-655.3852516574589
528.4000537109374,22937.892376863943,22395.99485122791,1589.348608225006,308.02198175359973,24293.36544120652,-1355.4730643425755
528.5000537109374,23683.36653624198,22395.99485122791,1706.9265677865887,322.3505460438946,24425.271965058397,-741.9054288164152
528.6000537109375,23449.078868894427,22395.99485122791,1838.7106823353154,337.69281509480817,24572.398348658036,-1123.3194797636097
