binding_energy_eV,raw_intensity,background,component:imide_N-C=O,total_fit,residual
392.00005371093744,24590.007420567646,24548.117697108526,41.8897173115664,24590.00741442009,6.147554813651368e-06
392.10005371093735,24097.386765931733,24548.117697108526,42.96521392989791,24591.082911038426,-493.6961451066927
392.2000537109375,24609.834820798063,24548.117697108526,44.08257598687831,24592.200273095405,17.634547702658892
392.3000537109374,24584.68633033622,24547.944238614953,45.24399994596147,24593.188238560913,-8.501908224694489
392.4000537109375,24716.44746272864,24547.944238614953,46.451827887412726,24594.396066502366,122.05139622627394
392.50005371093744,24425.880441751586,24546.743705535166,47.70855921976918,24594.452264754935,-168.57182300334898
392.60005371093735,24390.19412544389,24546.743705535166,49.01686350232622,24595.76056903749,-205.56644359360143
392.7000537109375,24091.994094827747,24546.743705535166,50.379594500358934,24597.123300035524,-505.129205207777
392.8000537109374,24584.527591240225,24546.743705535166,51.79980561006056,24598.543511145228,-14.015919905003102
392.9000537109375,24551.01838501621,24546.743705535166,53.280766807497955,24600.024472342662,-49.00608732645196
393.00005371093744,24116.9420622835,24546.743705535166,54.82598329553642,24601.569688830703,-484.6276265472043
393.10005371093735,24590.576529054026,24546.743705535166,56.43921604547443,24603.18292158064,-12.60639252661349
393.2000537109375,24441.188625621773,24546.743705535166,58.124504455863,24604.86820999103,-163.6795843692562
393.3000537109374,24181.357311986143,24546.743705535166,59.88619138084623,24606.629896916013,-425.2725849298695
393.4000537109375,24390.672487703698,24546.743705535166,61.72895081459229,24608.472656349757,-217.80016864605932
393.50005371093744,24238.8914462115,24546.743705535166,63.65781855767926,24610.401524092846,-371.51007788134666
393.60005371093735,24301.800085408147,24546.743705535166,65.67822623705864,24612.421931772224,-310.6218463640762
393.7000537109375,24118.48822222325,24546.743705535166,67.79603910368779,24614.539744638852,-496.05152241560063
393.8000537109374,24643.986244875494,24546.743705535166,70.01759809315462,24616.761303628322,27.224941247171955
393.9000537109375,24392.266165419962,24546.475913183796,72.34976670562146,24618.825679889418,-226.5595144694562
394.00005371093744,24454.531253657035,24546.475913183796,74.79998334390109,24621.2758965277,-166.7446428706644
394.10005371093735,24395.85928943981,24546.475913183796,77.37631984523415,24623.85223302903,-227.99294358921907
394.2000537109375,24658.288194171004,24546.475913183796,80.08754705492187,24626.563460238718,31.724733932285744
394.3000537109374,23984.677257751388,24546.163859574914,82.9432084224912,24629.107067997404,-644.4298102460161
394.4000537109375,24382.724692608517,24546.163859574914,85.95370275666856,24632.117562331583,-249.39286972306581
394.50005371093744,24332.693206155418,24546.163859574914,89.1303774585548,24635.294237033468,-302.60103087804964
394.60005371093735,24227.805404603874,24546.163859574914,92.48563376937658,24638.649493344292,-410.84408874041765
394.7000537109375,24069.632206153798,24546.163859574914,96.03304582547393,24642.19690540039,-572.5646992465918
394.8000537109374,24387.20237390976,24546.163859574914,99.7874956182915,24645.951355193207,-258.7489812834465
394.9000537109375,24020.3591220592,24546.163859574914,103.76532632040173,24649.929185895315,-629.5700638361159
395.00005371093744,24421.05491573511,24546.163859574914,107.98451687228632,24654.1483764472,-233.09346071209075
395.10005371093735,24465.31172509359,24546.163859574914,112.46488124519315,24658.628740820106,-193.31701572651582
395.2000537109375,24582.854611879535,24546.163859574914,117.22829642019174,24663.392155995105,-80.5375441155702
395.3000537109374,24309.031468414825,24546.163859574914,122.29896387794552,24668.46282345286,-359.4313550380357
395.4000537109375,24546.774966262023,24546.163859574914,127.70371030623771,24673.867569881153,-127.09260361913039
395.50005371093744,24615.785037554204,24546.163859574914,133.47233433973818,24679.63619391465,-63.85115636044793
395.60005371093735,24242.9694561961,24546.163859574914,139.63800749693402,24685.80186707185,-442.8324108757479
395.7000537109375,24232.934958918744,24546.163859574914,146.23773912906012,24692.401598703975,-459.46663978523065
395.8000537109374,24058.563296767377,24546.163859574914,153.31291722213658,24699.47677679705,-640.9134800296742
395.9000537109375,24389.695388166652,24546.163859574914,160.9099393895462,24707.07379896446,-317.3784107978063
396.00005371093744,24344.262897169767,24546.163859574914,169.08095148060443,24715.24481105552,-370.9819138857529
396.10005371093735,24427.35669223258,24546.163859574914,177.88471507047214,24724.048574645385,-296.69188241280426
396.2000537109375,24256.7873036404,24546.163859574914,187.38762989417916,24733.551489469093,-476.76418582869155
396.3000537109374,23965.472610179255,24546.163859574914,197.66494333166239,24743.828802906577,-778.3561927273222
396.4000537109375,24104.979153645232,24546.163859574914,208.80218675735117,24754.966046332265,-649.9868926870331
396.50005371093744,24472.397641633914,24546.163859574914,220.89688860951978,24767.060748184434,-294.66310655052075
396.60005371093735,24870.37856239788,24546.163859574914,234.060627634505,24780.22448720942,90.15407518846041
396.7000537109375,24920.632694635293,24545.277078103827,248.42150936328954,24793.698587467115,126.93410716817743
396.8000537109374,24701.27600068178,24544.028517531453,264.12717970427764,24808.155697235732,-106.87969655395136
396.9000537109375,24281.310532979067,24544.028517531453,281.3485428598862,24825.37706039134,-544.066527412273
397.00005371093744,24653.709764998017,24544.028517531453,300.2844505123533,24844.312968043807,-190.60320304579
397.10005371093735,24647.55993446813,24544.028517531453,321.1678240592714,24865.196341590723,-217.6364071225944
397.2000537109375,24651.06100125229,24544.028517531453,344.27405516922244,24888.302572700675,-237.24157144838682
397.3000537109374,24611.745891621034,24544.028517531453,369.93326950708695,24913.96178703854,-302.21589541750654
