binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:methoxy_C,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
275.00005371093744,9158.291117739363,9158.291117739363,260.6359151033586,50.54814991090236,15.156896258111402,20.409231978356296,5.3198062416280365,21.751002644416012,9532.112119876136,-373.8210021367722
275.10005371093735,8790.359254760213,9211.149276367603,266.22904525265557,51.54104938878901,15.437664887808284,20.733140249463638,5.39819840636241,22.03228293415976,9592.520657486843,-802.1614027266296
275.2000537109375,9152.434096119194,9264.007434995963,272.0038400158401,52.563461845677566,15.726302135524824,21.06481560046595,5.478335221287458,22.319037361318088,9653.163227176077,-500.7291310568835
275.3000537109374,8537.507727463659,9316.865593624203,277.9682380885924,53.616567338944705,16.023104576958136,21.4045081816129,5.560268814089045,22.611408432025012,9714.049689056425,-1176.5419615927658
275.4000537109375,9022.139127875467,9369.723752252565,284.1306157711978,54.70160543372032,16.328382882623306,21.75247828793052,5.644053272842767,22.909543304366945,9775.190431205247,-753.0513033297793
275.50005371093744,8306.349184072182,9422.581910880805,290.49981618011583,55.81987883633828,16.64246262875203,22.108996856577058,5.729744735100437,23.213593971168308,9836.596404088856,-1530.247220016674
275.60005371093735,9007.180432015411,9475.440069509044,297.08518075565314,56.97275728900285,16.96568516311249,22.474345992870536,5.817401481735832,23.52371745119162,9898.279157642612,-891.0987256272001
275.7000537109375,8724.658245855546,9528.298228137404,303.89658327352726,58.1616817472618,17.298408530020936,22.84881952687014,5.90708403583728,23.840075989178317,9960.2508812401,-1235.5926353845534
275.8000537109374,9092.70285065784,9581.156386765644,310.94446658999465,59.38816886399901,17.64100845921893,23.232723602563546,5.998855266961534,24.162837265205994,10022.524446813588,-929.8215961557471
275.9000537109375,9410.106928590636,9634.014545394004,318.2398823741537,60.65381580591798,17.993879423709572,23.626377301868686,6.092780501085603,24.492174613866766,10085.113455414607,-675.0065268239705
276.00005371093744,8557.835991895907,9686.872704022244,325.7945341071505,61.96030543088322,18.35743577207838,24.03011330579646,6.188927636609632,24.828267253775888,10148.032287528538,-1590.1962956326315
276.10005371093735,8799.500208035046,9739.730862650484,333.62082365872664,63.309411857400804,18.732112941373423,24.444278595350823,6.287367266800786,25.17130052799178,10211.296157498127,-1411.7959494630813
276.2000537109375,8579.377148645355,9792.589021278844,341.73190178406145,64.70300646042891,19.11836875713453,24.869235194893356,6.38817280908422,25.521466155922216,10274.921172440369,-1695.5440237950133
276.3000537109374,8562.116117832482,9845.447179907085,350.1417229218487,66.14306433120503,19.516684827804088,25.305360960945187,6.491420641624237,25.878962497353644,10338.924396087867,-1776.8082782553847
276.4000537109375,9305.516063176352,9898.305338535445,358.8651047166118,67.63167124256412,19.92756804143444,25.75305041963574,6.597190247671334,26.24399482928043,10403.323918032644,-1097.8078548562917
276.50005371093744,9323.89977699013,9951.163497163685,367.9177927347976,69.17103116531031,20.351552173326965,26.212715656228415,6.70556436817741,26.61677563622419,10468.13892889775,-1144.239151907619
276.60005371093735,8752.49056924312,10004.021655791925,377.31653089836806,70.76347438606666,20.789199614119998,26.684787260485738,6.816629163232005,26.9975249148222,10533.38980202902,-1780.8992327858996
276.7000537109375,8698.582007098814,10056.879814420285,387.07913821841254,72.41146628206907,21.241103228714692,27.169715331885428,6.9304743829002575,27.38647049346672,10599.098182357733,-1900.5161752589192
276.8000537109374,8988.606895450921,10109.737973048525,397.2245924795215,74.11761681431291,21.70788835748212,27.667970549063952,7.047193548095741,27.783848367856287,10665.287083164858,-1676.680187713937
276.9000537109375,9562.997021313262,10162.596131676884,407.7731216020598,75.88469080698755,22.190214972332754,28.18004530822811,7.1668841421697245,28.18990305337586,10731.980991562039,-1168.983970248777
277.00005371093744,9260.07838241884,10215.454290305124,418.7463034950567,77.71561908829068,22.68878000145398,28.70645493562995,7.289647813941215,28.60488795524954,10799.205983594746,-1539.1276011759055
277.10005371093735,8923.461988153545,10268.312448933364,430.1671753116022,79.613510576099,23.20431983798351,29.247738979694507,7.4155905929631825,29.029065757521607,10866.989849989228,-1943.5278618356824
277.2000537109375,8564.901882539742,10321.170607561726,442.060353128512,81.58166540092733,23.73761304939199,29.804462588799762,7.544823117867145,29.462708831938755,10935.362233679163,-2370.4603511394216
277.3000537109374,9106.634835583982,10374.028766189966,454.4521631991762,83.6235891690448,24.289483306129192,30.377217981265275,7.6774608787043634,29.9060996679101,11004.354780392196,-1897.7199448082138
277.4000537109375,9002.414003549842,10426.886924818325,467.37078607248986,85.74300848021956,24.86080255003875,30.96662601467624,7.813624474275091,30.359531324800034,11074.001303734825,-2071.587300184983
