binding_energy_eV,raw_intensity,background,component:imide_N-C=O,total_fit,residual
392.00005371093744,24590.007420567646,24590.007420567646,42.112042452497185,24632.119463020143,-42.1120424524961
392.10005371093735,24097.386765931733,24588.824345345718,43.193216829490886,24632.01756217521,-534.6307962434767
392.2000537109375,24609.834820798063,24587.64127012379,44.31647604426631,24631.957746168056,-22.122925369993027
392.3000537109374,24584.68633033622,24586.45819490186,45.48402796211974,24631.94222286398,-47.255892527762626
392.4000537109375,24716.44746272864,24585.27511967993,46.69822681214921,24631.97334649208,84.4741162365608
392.50005371093744,24425.880441751586,24584.092044458004,47.961584957932175,24632.053629415936,-206.17318766434983
392.60005371093735,24390.19412544389,24582.908969236076,49.2767857847509,24632.185755020826,-241.99162957693625
392.7000537109375,24091.994094827747,24581.725894014144,50.64669782566663,24632.37259183981,-540.3784970120614
392.8000537109374,24584.527591240225,24580.54281879222,52.0743902640903,24632.61720905631,-48.08961781608377
392.9000537109375,24551.01838501621,24579.359743570287,53.56314996789656,24632.922893538183,-81.90450852197318
393.00005371093744,24116.9420622835,24578.17666834836,55.116500229873694,24633.29316857823,-516.3511062947327
393.10005371093735,24590.576529054026,24576.993593126434,56.738221412196935,24633.73181453863,-43.155285484604974
393.2000537109375,24441.188625621773,24575.8105179045,58.432373718467595,24634.24289162297,-193.05426600119608
393.3000537109374,24181.357311986143,24574.627442682573,60.20332234686159,24634.830765029434,-453.47345304329065
393.4000537109375,24390.672487703698,24573.444367460645,62.055765312322066,24635.500132772966,-244.82764506926833
393.50005371093744,24238.8914462115,24572.261292238716,63.994764265208524,24636.256056503924,-397.3646102924249
393.60005371093735,24301.800085408147,24571.078217016788,66.02577867978293,24637.103995696572,-335.30391028842496
393.7000537109375,24118.48822222325,24569.89514179486,68.15470383862235,24638.049845633483,-519.5616234102308
393.8000537109374,24643.986244875494,24568.71206657293,70.38791310055834,24639.09997967349,4.886265202003415
393.9000537109375,24392.266165419962,24567.528991351,72.73230501106806,24640.261296362067,-247.99513094210488
394.00005371093744,24454.531253657035,24566.345916129074,75.19535589690007,24641.541272025974,-187.0100183689392
394.10005371093735,24395.85928943981,24565.162840907145,77.78517868390594,24642.94801959105,-247.08873015124118
394.2000537109375,24658.288194171004,24563.979765685213,80.51058879013387,24644.490354475347,13.797839695656876
394.3000537109374,23984.677257751388,24562.79669046329,83.38117807934823,24646.177868542636,-661.5006107912486
394.4000537109375,24382.724692608517,24561.613615241356,86.40739801641959,24648.021013257778,-265.29632064926045
394.50005371093744,24332.693206155418,24560.430540019428,89.60065334994017,24650.031193369367,-317.3379872139485
394.60005371093735,24227.805404603874,24559.247464797503,92.97340786533863,24652.22087266284,-424.41546805896724
394.7000537109375,24069.632206153798,24558.06438957557,96.53930400914396,24654.603693584715,-584.9714874309175
394.8000537109374,24387.20237390976,24556.881314353643,100.31329849144696,24657.19461284509,-269.99223893533053
394.9000537109375,24020.3591220592,24555.698239131714,104.31181633838716,24660.010055470102,-639.6509334109032
395.00005371093744,24421.05491573511,24554.515163909786,108.55292630198456,24663.06809021177,-242.01317447666224
395.10005371093735,24465.31172509359,24553.332088687857,113.05654105735393,24666.38862974521,-201.0769046516216
395.2000537109375,24582.854611879535,24552.14901346593,117.84464624466544,24669.993659710595,-87.13904783106045
395.3000537109374,24309.031468414825,24550.965938244,122.94156317061199,24673.90750141461,-364.8760329997858
395.4000537109375,24546.774966262023,24549.78286302207,128.37425090023694,24678.157113922305,-131.3821476602825
395.50005371093744,24615.785037554204,24548.599787800144,134.17265458169476,24682.77244238184,-66.98740482763606
395.60005371093735,24242.9694561961,24547.416712578215,140.37010820206734,24687.786820780282,-444.81736458418163
395.7000537109375,24232.934958918744,24546.233637356283,147.00380162839824,24693.23743898468,-460.30248006593683
395.8000537109374,24058.563296767377,24545.05056213436,154.11532382175247,24699.16588595611,-640.602589188733
395.9000537109375,24389.695388166652,24543.867486912426,161.75129661733519,24705.61878352976,-315.9233953631083
396.00005371093744,24344.262897169767,24542.684411690498,169.964116562538,24712.648528253034,-368.38563108326707
396.10005371093735,24427.35669223258,24541.501336468573,178.8128261580582,24720.31416262663,-292.95747039404887
396.2000537109375,24256.7873036404,24540.31826124664,188.36414066178963,24728.68240190843,-471.89509826802896
396.3000537109374,23965.472610179255,24539.135186024712,198.69366268301712,24737.82884870773,-772.3562385284749
396.4000537109375,24104.979153645232,24537.952110802784,209.88732453814617,24747.83943534093,-642.8602816956991
396.50005371093744,24472.397641633914,24536.769035580855,222.0431084484435,24758.8121440293,-286.4145023953861
396.60005371093735,24870.37856239788,24535.585960358927,235.27310839982584,24770.859068758753,99.51949363912718
396.7000537109375,24920.632694635293,24534.402885137,249.70601739568787,24784.108902532687,136.5237921026055
396.8000537109374,24701.27600068178,24533.21980991507,265.49015534946943,24798.70996526454,-97.43396458276038
396.9000537109375,24281.310532979067,24532.036734693138,282.79720769091,24814.833942384048,-533.5234094049811
397.00005371093744,24653.709764998017,24530.853659471213,301.82694763238334,24832.680607103597,-178.97084210558023
397.10005371093735,24647.55993446813,24529.670584249285,322.8134160407699,24852.484000290053,-204.92406582192416
397.2000537109375,24651.06100125229,24528.487509027353,346.0334276486158,24874.52093667597,-223.4599354236816
397.3000537109374,24611.745891621034,24527.304433805428,371.8190309565329,24899.12346476196,-287.37757314092596
397.4000537109375,24596.265374791772,24526.121358583496,400.57694785500973,24926.698306438506,-330.4329316467338
397.50005371093744,24963.04989451428,24524.938283361567,432.8204563858291,24957.758739747398,5.291154766880936
397.60005371093735,24914.75951753017,24523.755208139642,469.2231373696443,24992.978345509287,-78.21882797911894
397.7000537109375,25065.480006746253,24522.57213291771,510.70978381811756,25033.28191673583,32.198090010424494
397.8000537109374,24621.533924035353,24521.389057695782,558.6075251550953,25079.996582850876,-458.46265881552245
397.9000537109375,25043.207418062917,24520.205982473854,614.8887308399221,25135.094713313774,-91.88729525085728
398.00005371093744,25446.34516802354,24519.022907251925,682.5435313608028,25201.56643861273,244.77872941081296
398.10005371093735,25699.157362307225,24517.839832029997,766.118237998031,25283.958070028028,415.19929227919783
