binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
275.00005371093744,9030.8472045595,9030.8472045595,258.8728818382007,67.58838325806263,18.92174789983294,5.544021196411486,23.479136850836557,9405.253375602846,-374.40617104334524
275.10005371093735,9049.897647871272,9085.736900806822,264.41557710986064,68.91499592129071,19.219792838822553,5.625717371644165,23.782242232431212,9467.695226280872,-417.79757840959974
275.2000537109375,8768.515892891743,9140.62659705427,270.1378974600972,70.28100054884156,19.52493090509802,5.70923172919366,24.091235794168817,9530.370893491669,-761.8550005999259
275.3000537109374,9037.105831532803,9195.51629330159,276.04767527579065,71.68797015564535,19.837388822175466,5.7946185937820065,24.40627052784213,9593.290216676827,-556.1843851440244
275.4000537109375,9043.481118281057,9250.405989549037,282.1531737621756,73.1375569544119,20.15740243891867,5.881934333145915,24.72750440944312,9656.463561447132,-612.9824431660745
275.50005371093744,8744.803730840273,9305.29568579636,288.46311564105804,74.6314971821905,20.485217173537407,5.971237450878005,25.055100594588705,9719.901853838612,-975.098122998339
275.60005371093735,9182.728296499288,9360.18538204368,294.9867141001685,76.17161627315558,20.821088482988348,6.0625886842278796,25.38922762292289,9783.616617207144,-600.8883207078561
275.7000537109375,9049.964296184378,9415.075078291127,301.733706196958,77.75983440616376,21.16528235943271,6.156051107162775,25.730059631948855,9847.620011992793,-797.6557158084142
275.8000537109374,8927.595259068772,9469.96477453845,308.714388941526,79.39817245842414,21.518075855554212,6.251690239015428,26.077776580797053,9911.924878613767,-984.3296195449948
275.9000537109375,8988.590877823803,9524.854470785896,315.9396583067374,81.08875839960183,21.8797576406777,6.349574159070077,26.432564484466642,9976.54478377645,-987.9539059526469
276.00005371093744,9172.278865811542,9579.744167033217,323.42105143907946,82.83383416382843,22.250628589747116,6.449773627454536,26.794615659081447,10041.494070512408,-869.2152047008658
276.10005371093735,8769.936874601242,9634.63386328054,331.1707923737895,84.63576304093438,22.631002407424667,6.552362212744746,27.16412897877895,10106.787912294212,-1336.8510376929698
276.2000537109375,8488.151723141156,9689.523559527986,339.2018415895025,86.49703763204509,23.021206289701293,6.657416426705001,27.541310144843436,10172.442371610783,-1684.2906484696268
276.3000537109374,8980.545941042661,9744.413255775307,347.52794977473536,88.42028841928698,23.421581625624302,6.765015866625618,27.926371967760456,10238.47446342934,-1257.928522386679
276.4000537109375,9131.983380867234,9799.302952022754,356.1637162195503,90.40829300433093,23.832484741953483,6.875243365753807,28.31953466291257,10304.902224017254,-1172.9188431500206
276.50005371093744,9255.565435210348,9854.192648270076,365.12465229112024,92.46398607587642,24.254287693747163,6.98818515234118,28.721026160649487,10371.74478564381,-1116.1793504334619
276.60005371093735,9381.353803699285,9909.082344517397,374.4272505047464,94.59047017257456,24.68737910417106,7.103931017884078,29.13108243156107,10439.022457748335,-1057.66865404905
