binding_energy_eV,intensity
-9.9999462890625637,2.1670678347314221
-8.9999462890625637,1.1466949229618748
-7.9999462890625637,6.0763121133765496
-6.9999462890625637,2.5243761402169103
-5.9999462890625637,8.6607348522115934
-4.9999462890625637,3.1536343338173363
-3.9999462890625637,3.3398231739729272
-2.9999462890625637,7.5529038976807277
-1.9999462890625637,5.5547344760071571
-0.99994628906256366,6.6265944129988492
5.3710937436335371e-05,10.546939972895597
1.0000537109374363,15.652306996487024
2.0000537109374363,42.481204814957763
3.0000537109374363,134.47376958631534
4.0000537109374363,321.52608455280546
5.0000537109374363,631.96895192090585
6.0000537109374363,649.00206806053802
7.0000537109374363,497.89690323663609
8.0000537109374363,534.67302790457643
9.0000537109374363,536.38518663902596
10.000053710937436,591.50385263147462
11.000053710937436,490.57454246269327
12.000053710937436,462.79872378580484
13.000053710937436,508.36901733620363
14.000053710937436,596.0588649142386
15.000053710937436,619.33261568198247
16.000053710937436,708.11914450554389
17.000053710937436,762.61650323668312
18.000053710937436,721.31553970596588
19.000053710937436,767.5613112450078
20.000053710937436,792.29433789140626
21.000053710937436,772.31986394413593
22.000053710937436,647.49262981867719
23.000053710937436,660.82123016219327
24.000053710937436,732.9325390755024
25.000053710937436,945.18531698912443
26.000053710937436,1160.7751001815191
27.000053710937436,1161.5500658447233
28.000053710937436,953.10366806055015
29.000053710937436,768.07321696889517
30.000053710937436,690.39859353893257
31.000053710937436,610.89184131976231
32.000053710937436,642.04948930018941
33.000053710937436,600.22801622722773
34.000053710937436,618.18549093115348
35.000053710937436,591.04346609972538
36.000053710937436,611.58542026044574
37.000053710937436,603.37049160871993
38.000053710937436,595.58667300818809
39.000053710937436,661.23045112122088
40.000053710937436,690.28602196577822
41.000053710937436,601.62974506794296
42.000053710937436,619.44637395443897
43.000053710937436,674.99893490911882
44.000053710937436,623.54045269952917
45.000053710937436,676.4115433082377
46.000053710937436,675.60391512429112
47.000053710937436,617.52068633916463
48.000053710937436,676.04631258067445
