binding_energy_eV,raw_intensity,background,component:carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22840.89303200437,22840.89303200437,360.20005029407315,109.27589672190999,23310.368979020353,-469.4759470159843
525.1000537109375,22077.163365397257,22871.528504654605,372.1346258157314,112.11857639324398,23355.78170686358,-1278.6183414663246
525.2000537109375,21981.05991623386,22902.16397730484,384.6692054279256,115.07328767525185,23401.90647040802,-1420.8465541741607
525.3000537109374,22063.549746939254,22932.79944995504,397.844471341597,118.14597646701667,23448.789897763654,-1385.2401508244002
525.4000537109374,22102.25440001302,22963.43492260528,411.70459297341694,121.34298707772919,23496.482502656425,-1394.2281026434066
525.5000537109374,22864.273367755344,22994.070395255516,426.29758965942517,124.67109458169095,23545.039079496633,-680.7657117412891
525.6000537109375,22041.826789431623,23024.70586790575,441.67573786397287,128.13754026933347,23594.51914603906,-1552.6923566074365
525.7000537109375,22034.38739755214,23055.341340555988,457.89602918759823,131.75007053611327,23644.9874402797,-1610.6000427275612
525.8000537109374,22096.85912158174,23085.976813206187,475.0206864925609,135.51697959410484,23696.51447929285,-1599.6553577111117
525.9000537109374,22069.96105801848,23116.612285856423,493.1177466628085,139.44715644005205,23749.177188959282,-1679.2161309408002
526.0000537109374,21802.715234663727,23147.24775850666,512.2617199326597,143.55013656946207,23803.05961500878,-2000.3443803450537
526.1000537109375,22315.056672244307,23177.883231156895,532.5343374017506,147.83615899047336,23858.25372754912,-1543.1970553048122
526.2000537109375,22876.32815555121,23208.51870380713,554.0254003551537,152.31622916446125,23914.860333326746,-1038.5321777755344
526.3000537109374,22665.421790415632,23239.154176457334,576.8337473967573,157.00218858472107,23972.990112438813,-1307.5683220231804
526.4000537109374,22501.064824915287,23269.78964910757,601.0683582626477,161.9067918015853,24032.764799171804,-1531.6999742565167
526.5000537109374,22066.16519582906,23300.425121757806,626.849616612117,167.0437918140703,24094.31853018399,-2028.1533343549308
526.6000537109375,22287.616912974958,23331.06059440804,654.3107582281699,172.42803487755253,24157.799387513765,-1870.1824745388076
526.7000537109375,22447.74197530853,23361.696067058278,683.5995360581645,178.07556592636112,24223.371169042803,-1775.6291937342721
526.8000537109374,23000.68492538643,23392.331539708477,714.8801396070819,184.00374598376823,24291.215425299328,-1290.5304999128966
526.9000537109374,22682.79087387195,23422.967012358713,748.3354136547241,190.23138313353363,24361.53380914697,-1678.7429352750223
527.0000537109374,22654.478633396833,23453.60248500895,784.1694305380923,196.77887886192147,24434.550794408962,-1780.072161012129
527.1000537109375,21915.732594735677,23484.237957659185,822.6104820192322,203.66839185357628,24510.516831531993,-2594.7842367963167
527.2000537109375,22295.817363540948,23514.87343030942,863.9145722513309,210.92402164527556,24589.712024206026,-2293.894660665079
527.3000537109374,22389.609028752962,23545.508902959624,908.3695148058662,218.57201491800944,24672.4504326835,-2282.841403930539
527.4000537109374,22152.775098910763,23576.14437560986,956.2997684234782,226.64099765022735,24759.085141683565,-2606.3100427728023
527.5000537109374,22404.37376099468,23606.779848260096,1008.072196396314,235.16223687621866,24850.01428153263,-2445.6405205379488
527.6000537109375,22414.46917497789,23637.41532091033,1064.1030190978004,244.16993640977694,24945.68827641791,-2531.2191014400196
527.7000537109375,23262.528799208358,23668.050793560567,1124.8663774647564,253.70157162245744,25046.61874264778,-1784.0899434394232
527.8000537109374,22197.829840692455,23698.686266210767,1190.905189555188,263.79826923220566,25153.38972499816,-2955.559884305705
527.9000537109374,22996.46452820494,23729.321738861003,1262.8454517951195,274.5052390897489,25266.67242974587,-2270.2079015409327
528.0000537109374,23095.943356635078,23759.95721151124,1341.4159547316285,285.8722661818133,25387.24543242468,-2291.302075789601
528.1000537109375,23074.512071430134,23790.592684161475,1427.4767659979684,297.9542725460898,25516.023722705533,-2441.5116512753993
528.2000537109375,23458.178949739733,23821.22815681171,1522.0620788619449,310.8119605652857,25654.102196238942,-2195.923246499209
528.3000537109374,22907.086050375172,23851.863629461914,1626.4464979967581,324.5125512456492,25802.82267870432,-2895.7366283291485
528.4000537109374,23019.921317388784,23882.49910211215,1742.2488994901817,339.1306336749739,25963.878635277306,-2943.957317888522
528.5000537109374,23754.705387028964,23913.134574762385,1871.5948713036169,354.7491450110574,26139.47859107706,-2384.773204048095
528.6000537109375,23348.742643082107,23943.77004741262,2017.367202844084,371.460504235698,26332.597754492403,-2983.8551114102956
528.7000537109375,23415.913599890308,23974.405520062857,2183.582920145586,389.36792776121024,26547.356367969653,-3131.442768079345
528.8000537109374,24519.814796913462,24005.040992713057,2375.942637162862,408.5869611943948,26789.570591070315,-2269.755794156852
528.9000537109374,25157.79407910708,24035.676465363293,2602.599488128314,429.2472698496235,27067.52322334123,-1909.729144234152
529.0000537109374,25096.600612248967,24066.31193801353,2875.184785866983,451.49474227905466,27392.991466159565,-2296.390853910598
529.1000537109375,24411.595617148265,24096.947410663764,3210.098733775067,475.49397870076825,27782.5401231396,-3370.944505991334
529.2000537109375,25820.41005798934,24127.582883314,3630.0202601141714,501.4312646582634,28259.034408086434,-2438.624350097096
529.3000537109374,26356.553287790928,24158.218355964204,4165.506731769346,529.5181788296914,28853.24326656324,-2496.6899787723123
529.4000537109374,26986.377040723466,24188.85382861444,4856.44523044511,559.9960696746177,29605.295128734168,-2618.9180880107015
529.5000537109374,27506.031161901832,24219.489301264675,5752.996253128749,593.1417886164202,30565.627343009844,-3059.5961811080124
529.6000537109375,29152.748042525487,24250.12477391491,6915.565082597368,629.2753381300354,31794.965194642315,-2642.2171521168275
529.7000537109375,31130.686379055485,24280.760246565147,8413.283932747097,668.7705611512725,33362.81474046352,-2232.128361408031
529.8000537109374,33200.78540007017,24311.395719215347,10320.53134535502,712.0707809086235,35343.99784547899,-2143.212445408819
529.9000537109374,35643.938179025026,24342.031191865583,12711.185558749985,759.712554650542,37812.92930526611,-2168.9911262410824
530.0000537109374,38096.83214031867,24372.66666451582,15650.606376516174,812.3626143230913,40835.63565535509,-2738.803515036416
530.1000537109375,42858.92099258807,24403.302137166054,19185.714639682374,870.8757989039954,44459.89257575243,-1600.9715831643553
530.2000537109375,47707.361296524934,24433.93760981629,23333.874895127417,936.385397084947,48704.19790202865,-996.8366055037186
530.3000537109374,53846.670450699385,24464.573082466493,28071.417706720575,1010.4416188314812,53546.43240801855,300.2380426808377
530.4000537109374,59521.710515200866,24495.20855511673,33322.40664629815,1095.218238143715,58912.8334395586,608.8770756422673
530.5000537109374,66374.64082659637,24525.844027766965,38947.68217903588,1193.8104366181515,64667.336643421,1707.3041831753726
530.6000537109375,72593.3881729068,24556.4795004172,44733.830020307345,1310.6462947371733,70600.95581546173,1992.4323574450682
530.7000537109375,79453.46609173497,24587.114973067437,50382.992159861606,1452.027143401035,76422.13427633008,3031.33181540489
530.8000537109374,84610.17772531882,24617.750445717636,55509.61132108793,1626.7945755207375,81754.1563423263,2856.0213829925196
530.9000537109374,88037.83693859844,24648.385918367872,59659.626733797384,1847.09130045778,86155.10395262303,1882.73298597541
531.0000537109374,88605.36573479432,24679.02139101811,62373.28557660111,2129.1382086505196,89181.44517626974,-576.07944147542
531.1000537109375,89671.85114780812,24709.656863668344,63296.02114682455,2493.893953357474,90499.57196385038,-827.7208160422597
531.2000537109375,88836.92903706364,24740.29233631858,62296.31405441663,2967.4046966612455,90004.01108739646,-1167.082050332814
531.3000537109374,85510.27393118171,24770.927808968783,59516.3931885646,3580.6054030119353,87867.92640054532,-2357.652469363602
531.4000537109374,83066.69110987775,24801.56328161902,55317.5705805073,4368.320000215384,84487.4538623417,-1420.7627524639538
531.5000537109374,78926.50771271178,24832.198754269255,50161.26303744299,5367.245813820113,80360.70760553236,-1434.1998928205721
531.6000537109375,75475.83518648556,24862.83422691949,44499.62183826561,6612.810017749217,75975.26608293431,-499.4308964487427
531.7000537109375,71816.0543432854,24893.469699569727,38714.79987604283,8134.94645683746,71743.21603245001,72.83831083538826
531.8000537109374,69194.10661068537,24924.105172219926,33101.0848210126,9953.026436640032,67978.21642987255,1215.890180812814
531.9000537109374,67257.34299895898,24954.740644870162,27868.667108933783,12070.321867173647,64893.729620977596,2363.6133779813827
532.0000537109374,64211.62298566686,24985.376117520398,23153.929790786155,14468.398130912192,62607.70403921875,1603.9189464481096
532.1000537109375,62408.41852670017,25016.011590170634,19030.47662207563,17101.664190358286,61148.15240260455,1260.266124095615
532.2000537109375,62221.20020316766,25046.64706282087,15520.092407087977,19892.010334935676,60458.74980484452,1762.4503983231407
532.3000537109374,62241.265800028035,25077.282535471073,12603.991016741762,22723.412039162133,60404.68559137497,1836.5802086530675
532.4000537109374,61602.523278380555,25107.91800812131,10234.293168145923,25437.43939758949,60779.65057385672,822.8727045238338
532.5000537109374,60692.67396800332,25138.553480771545,8345.111658537799,27833.838685936953,61317.5038252463,-624.8298572429776
532.6000537109375,60840.54410205955,25169.18895342178,6862.406654983258,29685.109527136094,61716.70513554114,-876.161033481585
532.7000537109375,60334.92187903697,25199.824426072017,5711.916318916263,30774.630507133268,61686.37125212155,-1351.4493730845788
532.8000537109374,59148.76597419007,25230.459898722216,4824.809094778244,30955.147332752094,61010.416326252554,-1861.6503520624829
532.9000537109374,57674.33869919449,25261.095371372452,4141.077248131166,30200.703181681456,59602.87580118507,-1928.5371019905797
533.0000537109374,56093.27398355639,25291.730844022688,3610.9844548423785,28616.78936865859,57519.50466752365,-1426.2306839672601
533.1000537109375,54052.39345702624,25322.366316672924,3195.045050797161,26400.942851576845,54918.35421904693,-865.960762020688
533.2000537109375,51416.828001712194,25353.00178932316,2863.0513088716093,23782.42271637604,51998.47581457081,-581.6478128586168
533.3000537109374,49823.980978971,25383.637261973363,2592.609970392018,20974.718134887284,48950.96536725266,873.015611718336
533.4000537109374,47060.62083933829,25414.2727346236,2367.5423420850852,18152.79748336825,45934.61256007693,1126.0082792613612
533.5000537109374,44312.9267342607,25444.908207273835,2176.381489084924,15448.464400023402,43069.75409638216,1243.1726378785388
533.6000537109375,42288.99588952761,25475.54367992407,2011.0918354217686,12953.659349586454,40440.29486493229,1848.7010245953134
533.7000537109375,40106.15210944844,25506.179152574306,1866.0543457261933,10725.74092955378,38097.97442785428,2008.177681594163
533.8000537109374,37784.65405044658,25536.814625224506,1737.3073371171397,8792.867748995606,36066.98971133725,1717.6643391093312
533.9000537109374,35810.80113249469,25567.450097874742,1622.0050520791283,7159.391872689299,34348.84702264317,1461.9541098515256
534.0000537109374,35040.858920098566,25598.085570524978,1518.046606912816,5811.4175110810365,32927.54968851883,2113.309231579733
534.1000537109375,32600.03457186281,25628.721043175217,1423.8297610637228,4722.406729142025,31774.957533380966,825.0770384818425
534.2000537109375,31593.596061544937,25659.35651582545,1338.0913635513757,3858.476363880568,30855.924243257396,737.6718182875411
534.3000537109374,30536.336783529907,25689.991988475653,1259.8053724431034,3182.9810460338886,30132.778406952646,403.5583765772608
534.4000537109374,30243.617672616292,25720.62746112589,1188.1177541313627,2660.0842913611855,29568.829506618436,674.7881659978557
534.5000537109374,29286.148693155657,25751.262933776125,1122.3043653479008,2257.198693599841,29130.765992723867,155.38270043179
534.6000537109375,29692.616889768597,25781.89840642636,1061.742915813005,1946.3519538986131,28789.99327613798,902.6236136306179
534.7000537109375,28311.008642263532,25812.533879076596,1005.8935254654314,1704.662073473676,28523.089478015703,-212.08083575217097
534.8000537109374,27986.33432990864,25843.1693517268,954.2845941320255,1514.1669463819428,28311.620892240768,-325.2865623321268
534.9000537109374,27695.953034439583,25873.80482437703,906.5020562446641,1361.2572813631223,28141.564161984817,-445.6111275452349
535.0000537109374,27845.588033675904,25904.44029702727,862.1808936219933,1235.9253163491292,28002.546506998395,-156.95847332249105
535.1000537109375,27201.77511437458,25935.075769677504,820.9982381417375,1130.98576376582,27887.05977158506,-685.284657210479
535.2000537109375,27422.742670871314,25965.711242327743,782.6676543138201,1041.3670047073215,27789.745901348884,-367.00323047757047
535.3000537109374,27200.346132023173,25996.346714977943,746.9343366491659,963.5208199751888,27706.801871602296,-506.4557395791235
535.4000537109374,28190.84192996038,26026.98218762818,713.5710394795013,894.9628601551102,27635.51608726279,555.3258426975917
535.5000537109374,27270.124710437107,26057.617660278414,682.3746061374407,833.9338939210368,27573.92616033689,-303.8014498997836
535.6000537109375,27430.32297515168,26088.25313292865,653.1629955635553,779.1611732552198,27520.577301747424,-90.2543265957429
535.7000537109375,27815.694336672383,26118.888605578886,625.7727255516164,729.6965362471005,27474.357867377603,341.3364692947798
535.8000537109374,27852.788791746298,26149.52407822909,600.0566671513258,684.8098070145143,27434.39055239493,418.39823935136883
535.9000537109374,27463.165457161736,26180.159550879325,575.8821364052936,643.920071731875,27399.961759016493,63.203698145243834
