binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,total_fit,residual
275.00005371093744,8650.470700538493,8650.470700538493,271.4357773132279,55.27694787283933,32.37669233874732,17.29030550963104,9026.85042357294,-376.3797230344462
275.10005371093735,8902.386471427351,8707.920653340982,277.2505985538931,56.36279286114,32.88208724558598,17.526861264259455,9091.94299326586,-189.55652183850907
275.2000537109375,9217.880773083345,8765.3706061436,283.2540024714496,57.48091593584443,33.39939658430378,17.768297259840022,9157.27321839504,60.607554688305754
275.3000537109374,9415.958665916865,8822.82055894609,289.4542197623693,58.63260783693612,33.92899742505434,18.014748447395117,9222.851132417845,193.10753349902006
275.4000537109375,8648.913484004726,8880.27051174871,295.85993437176614,59.81922440112725,34.47128185775088,18.266354467278454,9288.687306846632,-639.7738228419057
275.50005371093744,8892.141904643662,8937.720464551197,302.480313727281,61.042190537107544,35.02665771495991,18.523259845739794,9354.792886376286,-462.65098173262413
275.60005371093735,9411.665004055349,8995.170417353685,309.32504134838223,62.30300448662644,35.595549335687785,18.78561420116206,9421.179626725543,-9.514622670194512
275.7000537109375,8787.45559754409,9052.620370156306,316.4043520460136,63.6032423950397,36.17839837268929,19.053572460502547,9487.859935430552,-700.4043378864608
275.8000537109374,8785.612869803701,9110.070322958794,323.72906995016893,64.94456321727242,36.77566464616587,19.3272950865244,9554.846915858925,-769.2340460552241
275.9000537109375,8613.49522593893,9167.520275761413,331.31064962774036,66.32871398762427,37.38782704693542,19.60694831644279,9622.154414740156,-1008.6591888012263
276.00005371093744,9130.516571134656,9224.970228563901,339.1612205800057,67.75753548446457,38.01538449233787,19.892704412628447,9689.797073533338,-559.2805023986821
276.10005371093735,8829.641536475767,9282.420181366391,347.2936354409082,69.23296832405566,38.658856938464496,20.184741926088208,9757.790383995907,-928.1488475201404
276.2000537109375,8921.95258457829,9339.87013416901,355.72152223092,70.7570595209275,39.318786452494074,20.483245973454107,9826.150748346807,-904.1981637685167
276.3000537109374,9488.784080037922,9397.320086971498,364.4593410606026,72.33196955605513,39.995738349259476,20.788408528283444,9894.895544465699,-406.1114644277768
276.4000537109375,9541.015278442304,9454.770039774117,373.5224457215114,73.95997999823597,40.69030239648977,21.100428727526698,9964.04319661788,-423.0279181755759
276.50005371093744,9118.455890081033,9512.219992576605,382.9271506502651,75.64350172854074,41.40309409346479,21.41951319405269,10033.613252242929,-915.1573621618954
276.60005371093735,8923.380984127223,9569.669945379095,392.69080380768696,77.38508382303549,42.13475602828008,21.74587637621987,10103.626465414318,-1180.2454812870947
276.7000537109375,9271.037760839845,9627.119898181714,402.8318660758098,79.18742315449117,42.885959319244556,22.079740905510256,10174.10488763677,-903.0671267969246
276.8000537109374,9121.101279199156,9684.569850984202,413.36999784617325,81.05337478030518,43.6574051464328,22.421337973337657,10245.071966730451,-1123.970687531295
276.9000537109375,8745.65249144779,9742.019803786821,424.32615355196447,82.98596319100525,44.449826379903634,22.770907728219633,10316.552654637915,-1570.9001631901247
277.00005371093744,9169.002288715716,9799.469756589311,435.7226849851873,84.98839450154297,45.263989311564785,23.12869969455767,10388.573525082164,-1219.571236366448
277.10005371093735,8715.176140185915,9856.9197093918,447.5834543427893,87.0640696767657,46.10069549833846,23.494973214401334,10461.162902124093,-1745.9867619381785
277.2000537109375,9270.3713854493,9914.369662194418,459.9339580595041,89.21659889226345,46.960783724817546,23.869997913625138,10534.351000784629,-1263.979615335329
