binding_energy_eV,intensity
-9.6438922795393864,0
-8.6438922795393864,2.1665633933570629
-7.6438922795393864,7.2127009203919554
-6.6438922795393864,5.6443108929416637
-5.6438922795393864,2.9724784296226963
-4.6438922795393864,2.578349965315585
-3.6438922795393864,5.4004345731454437
-2.6438922795393864,3.1721134660658894
-1.6438922795393864,4.8032689029355247
-0.64389227953938644,6.9548765989403272
0.35610772046061356,9.2538887655599904
1.3561077204606136,15.112880594245244
2.3561077204606136,55.727820076407667
3.3561077204606136,130.1449519066141
4.3561077204606136,334.2639463605646
5.3561077204606136,594.59605390144338
6.3561077204606136,540.97405650559188
7.3561077204606136,499.48258163550071
8.3561077204606136,515.29860662841827
9.3561077204606136,550.79019202088068
10.356107720460614,579.57868196562845
11.356107720460614,467.09315398319563
12.356107720460614,466.23922396346643
13.356107720460614,514.41064989312247
14.356107720460614,569.05329337939781
15.356107720460614,606.98318647184828
16.356107720460614,752.40723846550247
17.356107720460614,746.72783268487842
18.356107720460614,729.28979909168891
19.356107720460614,767.58849551893684
20.356107720460614,842.66095284863923
21.356107720460614,668.94713373526406
22.356107720460614,689.82721525701447
23.356107720460614,716.11795790977021
24.356107720460614,784.20169565040555
25.356107720460614,832.34519973655335
26.356107720460614,873.45775554099714
27.356107720460614,880.34612978031646
28.356107720460614,870.30910410366778
29.356107720460614,728.24377205606459
30.356107720460614,686.04769676871558
31.356107720460614,602.67121023367872
32.356107720460614,676.75309968338581
33.356107720460614,576.70543458874783
34.356107720460614,585.35088080581374
35.356107720460614,613.82269685928497
36.356107720460614,600.91258886827677
37.356107720460614,585.2155874096012
38.356107720460614,576.5861727675051
39.356107720460614,603.05313708365861
40.356107720460614,613.79660095604584
41.356107720460614,611.22941540805289
42.356107720460614,642.95063410592377
43.356107720460614,698.33138280360208
44.356107720460614,645.00199374949193
45.356107720460614,616.1756279971064
46.356107720460614,619.34532314575677
47.356107720460614,640.28483189986855
48.356107720460614,632.79972231197371
49.356107720460614,635.3845521854729
50.356107720460614,668.99970103700059
51.356107720460614,644.39638765216546
52.356107720460614,697.61896629897547
53.356107720460614,628.41178180396912
54.356107720460614,598.39668640530329
55.356107720460614,597.25815297605266
56.356107720460614,613.72149806665959
