binding_energy_eV,intensity
-9.6202821554760476,3.2504577915099606
-8.6202821554760476,4.3331137056642719
-7.6202821554760476,2.1661801011339059
-6.6202821554760476,3.770510379804211
-5.6202821554760476,2.8624052164649902
-4.6202821554760476,4.3294086868061381
-3.6202821554760476,4.8604388331093826
-2.6202821554760476,7.0311607502705327
-1.6202821554760476,9.2580619427680677
-0.62028215547604759,10.072216273074133
0.37971784452395241,7.4395313507336498
1.3797178445239524,20.166670300187171
2.3797178445239524,66.640411910140543
3.3797178445239524,162.34426373377488
4.3797178445239524,330.72528358415929
5.3797178445239524,616.60993446283339
6.3797178445239524,588.75248250916491
7.3797178445239524,492.25009387807125
8.3797178445239524,530.52443949076167
9.3797178445239524,593.40667395354637
10.379717844523952,589.6361473129499
11.379717844523952,495.26320900293388
12.379717844523952,472.52579959988242
13.379717844523952,537.00669390986877
14.379717844523952,547.31401487207734
15.379717844523952,626.10770958617502
16.379717844523952,720.22704999095129
17.379717844523952,772.07867575676801
18.379717844523952,732.3550133809232
19.379717844523952,738.82002828559484
20.379717844523952,709.23729021071733
21.379717844523952,669.70831851614082
22.379717844523952,672.0142662400566
23.379717844523952,698.35573745340798
24.379717844523952,773.2210127365945
25.379717844523952,878.24707773667808
26.379717844523952,995.11178721034446
27.379717844523952,950.97007031537748
28.379717844523952,939.44035831324209
29.379717844523952,810.34461825348637
30.379717844523952,675.60538162441276
31.379717844523952,652.07302552872909
32.379717844523952,633.68368633279533
33.379717844523952,643.90937000985025
34.379717844523952,622.15904394452559
35.379717844523952,607.01626195492281
36.379717844523952,579.72387494599002
37.379717844523952,587.96559623318592
38.379717844523952,596.06230215639698
39.379717844523952,655.73084035304782
40.379717844523952,640.97061944760139
41.379717844523952,669.26137076485691
42.379717844523952,626.59892116197091
43.379717844523952,633.45455904703488
44.379717844523952,672.37874416567342
45.379717844523952,649.5562603221797
46.379717844523952,633.37635708738264
47.379717844523952,623.02784935088778
48.379717844523952,683.12568517237537
49.379717844523952,677.47845056377616
50.379717844523952,674.18629750514469
51.379717844523952,640.82942729701961
52.379717844523952,628.13647526026864
53.379717844523952,640.65137525754415
54.379717844523952,697.0920260743959
55.379717844523952,626.44221837021803
56.379717844523952,639.29557168890256
57.379717844523952,616.05361118640997
58.379717844523952,676.50197132023584
59.379717844523952,624.09555809762765
60.379717844523952,628.35559275866251
61.379717844523952,593.94182705828302
62.379717844523952,627.13803834707164
63.379717844523952,606.75719249965721
64.379717844523952,633.24231624329889
65.379717844523952,651.60841754941714
66.379717844523952,647.19390642593589
67.379717844523952,604.95569982200084
68.379717844523952,640.63127522985314
69.379717844523952,590.75067768051429
70.379717844523952,585.38522060909145
71.379717844523952,592.20740945167597
72.379717844523952,614.26608053575706
73.379717844523952,639.26419191578213
74.379717844523952,600.81536261170879
75.379717844523952,592.40495959655004
76.379717844523952,600.75178749235215
77.379717844523952,589.26229328422357
78.379717844523952,555.19889592218215
79.379717844523952,570.10694854839858
80.379717844523952,551.43393276785594
81.379717844523952,578.7638504882126
82.379717844523952,573.1873605069195
83.379717844523952,566.94307467558895
84.379717844523952,563.75470858124811
85.379717844523952,616.560294148342
86.379717844523952,558.66001814491835
87.379717844523952,614.13572206695449
88.379717844523952,580.36154134775461
89.379717844523952,564.73109104633102
90.379717844523952,561.86837540427621
91.379717844523952,555.92114828779302
92.379717844523952,578.82260508760032
93.379717844523952,582.55791226398674
94.379717844523952,583.77225844574923
95.379717844523952,564.01427832085983
96.379717844523952,580.97249973857788
97.379717844523952,582.47994988423659
98.379717844523952,549.76145538429478
99.379717844523952,568.02715869169424
100.37971784452395,573.20538346438957
101.37971784452395,699.23026828437867
102.37971784452395,755.79785513122249
103.37971784452395,690.43115068997088
104.37971784452395,647.43715801647966
105.37971784452395,536.34748854269492
106.37971784452395,557.48454609168539
107.37971784452395,535.24757506075116
108.37971784452395,532.6143176919287
109.37971784452395,580.19658184117088
110.37971784452395,563.72944985093977
111.37971784452395,550.80636479250097
112.37971784452395,572.02306608907486
113.37971784452395,639.83303796035216
114.37971784452395,536.62161097872536
115.37971784452395,580.21021694401441
116.37971784452395,547.53336618887113
117.37971784452395,584.15370935801741
118.37971784452395,535.17328168102449
119.37971784452395,515.87428924150424
120.37971784452395,568.73125952992621
121.37971784452395,587.49087608680384
122.37971784452395,523.83255644279745
123.37971784452395,570.16086552199897
124.37971784452395,550.2471485891856
125.37971784452395,517.5709490665696
126.37971784452395,563.82417072559588
127.37971784452395,558.48540080527073
128.37971784452395,536.91382396979816
129.37971784452395,605.47152219663622
130.37971784452395,521.71236713854751
131.37971784452395,529.52221941050504
132.37971784452395,518.60737560280404
133.37971784452395,523.38130324810697
134.37971784452395,569.20161307917863
135.37971784452395,517.75663520709907
136.37971784452395,557.89029733767154
137.37971784452395,527.79130461265436
138.37971784452395,549.28929265658849
139.37971784452395,528.67974030286871
140.37971784452395,518.16519197953835
141.37971784452395,546.49715837010024
142.37971784452395,516.99068450562731
143.37971784452395,573.33094122910586
144.37971784452395,544.64568523341518
145.37971784452395,552.64981385193005
146.37971784452395,522.24139638051929
147.37971784452395,522.5755930637431
148.37971784452395,530.13606927098556
149.37971784452395,532.66108219951229
150.37971784452395,594.39746767649319
151.37971784452395,579.28029331258085
152.37971784452395,628.80713437745862
153.37971784452395,677.42825828001014
154.37971784452395,655.07392592706606
155.37971784452395,587.58415251035171
156.37971784452395,552.40651125812678
157.37971784452395,529.08173515491001
158.37971784452395,597.00326902077427
159.37971784452395,554.30426772648354
160.37971784452395,535.7270414053304
161.37971784452395,572.41215006041091
162.37971784452395,516.96912815351595
163.37971784452395,498.18662211498514
164.37971784452395,539.00995892093579
165.37971784452395,554.06487884603212
166.37971784452395,540.11800529442598
167.37971784452395,551.56192646981492
168.37971784452395,522.35871315992085
169.37971784452395,492.68493499881151
170.37971784452395,580.14480186118089
171.37971784452395,496.83480654281465
172.37971784452395,555.50734250476307
173.37971784452395,533.58173329396084
174.37971784452395,559.23507377832698
175.37971784452395,537.22218018169281
176.37971784452395,550.85198406981522
177.37971784452395,557.2963434949296
178.37971784452395,530.11738946464595
179.37971784452395,527.70407816109309
180.37971784452395,522.22558304099221
181.37971784452395,521.61657652584427
182.37971784452395,537.64896766228901
183.37971784452395,554.61117064113978
184.37971784452395,547.22090317067079
185.37971784452395,522.57797600804349
186.37971784452395,571.00184275725337
187.37971784452395,538.33429786363763
188.37971784452395,547.44425647346168
189.37971784452395,502.55551458480846
190.37971784452395,554.95613060900166
191.37971784452395,533.10265161454845
192.37971784452395,512.39795390985387
193.37971784452395,504.54299794680662
194.37971784452395,544.1387786444418
195.37971784452395,571.90635232932141
196.37971784452395,641.05495545516123
197.37971784452395,696.4124964597255
198.37971784452395,881.96148696372734
199.37971784452395,3030.0695703506026
200.37971784452395,9638.8366880630583
201.37971784452395,7534.8668541447396
