binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.3558081986467,22840.89303200437,22840.89303200437,280.13201447256336,72.15997819343673,56.262459639735795,23249.447484310105,-408.55445230573605
525.4558081986468,22077.163365397257,22871.528504654605,289.5761427831146,74.20844163178464,57.67684375071622,23292.98993282022,-1215.8265674229624
525.5558081986468,21981.05991623386,22902.16397730484,299.5040258921837,76.34513023364107,59.14511857151465,23337.15825200218,-1356.0983357683217
525.6558081986467,22063.549746939254,22932.79944995504,309.94913033853294,78.57516860010965,60.67005060606798,23381.993799499753,-1318.4440525604987
525.7558081986467,22102.25440001302,22963.43492260528,320.94785413257677,80.90405770618804,62.25458575437082,23427.541420198417,-1325.2870201853984
525.8558081986467,22864.273367755344,22994.070395255516,332.5398388604708,83.33770845532726,63.901863419896515,23473.84980599121,-609.5764382358648
525.9558081986468,22041.826789431623,23024.70586790575,344.7683210504931,85.88247876441041,65.61523192505832,23520.971899645712,-1479.145110214089
526.0558081986468,22034.38739755214,23055.341340555988,357.68052851743573,88.5452146085204,67.3982653747622,23568.965349056707,-1534.5779515045688
526.1558081986467,22096.85912158174,23085.976813206187,371.3281283486767,91.33329551434768,69.25478212519216,23617.893019194405,-1521.033897612666
526.2558081986467,22069.96105801848,23116.612285856423,385.7677343200584,94.25468505977227,71.18886503435986,23667.823570270615,-1597.8625122521335
526.3558081986467,21802.715234663727,23147.24775850666,401.0614828671483,97.31798701660861,73.2048836929806,23718.832112083397,-1916.1168774196703
526.4558081986468,22315.056672244307,23177.883231156895,417.27768833416593,100.53250786588235,75.30751885948622,23771.00094621643,-1455.9442739721235
526.5558081986468,22876.32815555121,23208.51870380713,434.49159013239347,103.90832652218725,77.5017893516699,23824.42040981338,-948.0922542621702
526.6558081986467,22665.421790415632,23239.154176457334,452.786206732857,107.45637222876421,79.79308168040828,23879.189837099362,-1213.76804668373
526.7558081986467,22501.064824915287,23269.78964910757,472.25331417859974,111.18851173099067,82.18718274863909,23935.4186577658,-1434.3538328505128
526.8558081986467,22066.16519582906,23300.425121757806,492.9945701359376,115.11764700685944,84.69031598204838,23993.227654882652,-1927.0624590535917
526.9558081986468,22287.616912974958,23331.06059440804,515.1228085460092,119.25782503381082,87.30918130787204,24052.750409295735,-1765.1334963207773
527.0558081986468,22447.74197530853,23361.696067058278,538.7635348516714,123.62436130718609,90.0509994556039,24114.13496267274,-1666.3929873642082
527.1558081986467,23000.68492538643,23392.331539708477,564.0566577727567,128.23397910404188,92.92356111985075,24177.545737705128,-1176.8608123186968
527.2558081986467,22682.79087387195,23422.967012358713,591.1585009493195,133.10496681527388,95.93528160243314,24243.16576172574,-1560.3748878537917
527.3558081986467,22654.478633396833,23453.60248500895,620.244146806511,138.2573560592116,99.0952616399046,24311.199249514575,-1656.7206161177419
527.4558081986468,21915.732594735677,23484.237957659185,651.5101761561358,143.71312375409727,102.41335522639208,24381.87461279581,-2466.1420180601344
527.5558081986468,22295.817363540948,23514.87343030942,685.1778809123715,149.49642188000124,105.9002453622492,24455.447978464043,-2159.630614923095
527.6558081986467,22389.609028752962,23545.508902959624,721.4970446582334,155.63383932249675,109.56752880000526,24532.207315740357,-2142.598286987395
