binding_energy_eV,raw_intensity,background,component:imide_N-C=O,total_fit,residual
392.00005371093744,24298.978809874818,24298.978809874818,42.2374442721087,24341.216254146926,-42.237444272108405
392.10005371093735,24459.380932547043,24300.412923506792,43.335131091212496,24343.748054598003,115.63287794903954
392.2000537109375,24669.835781394897,24301.84703713877,44.47608153857969,24346.32311867735,323.51266271754866
392.3000537109374,24578.682150477038,24303.281150770745,45.662594470603295,24348.943745241348,229.73840523569015
392.4000537109375,24373.81475105525,24304.715264402723,46.8971231435907,24351.612387546313,22.202363508939015
392.50005371093744,24183.586615165153,24306.149378034694,48.18228779798547,24354.33166583268,-170.7450506675268
392.60005371093735,24505.305856984214,24307.583491666668,49.52088945278593,24357.104381119454,148.20147586476014
392.7000537109375,24097.934328764793,24309.017605298646,50.91592504460179,24359.93353034325,-261.99920157845554
392.8000537109374,24378.160763554817,24310.45171893062,52.37060406289482,24362.822322993514,15.338440561303287
392.9000537109375,24834.62543267538,24311.8858325626,53.88836685238892,24365.774199414987,468.8512332603932
393.00005371093744,24446.259562438496,24313.319946194573,55.472904775746386,24368.79285097032,77.46671146817607
393.10005371093735,24438.458371936555,24314.754059826548,57.12818245526765,24371.882242281816,66.5761296547389
393.2000537109375,24146.72479996605,24316.188173458526,58.858462341443044,24375.04663579997,-228.32183583391816
393.3000537109374,24411.842060417035,24317.6222870905,60.66833188995627,24378.290618980456,33.5514414365789
393.4000537109375,24127.47448550283,24319.05640072248,62.562733667545736,24381.619134390025,-254.14464888719522
393.50005371093744,24384.63680996815,24320.490514354453,64.54699875178858,24385.037513106243,-0.40070313809337677
393.60005371093735,24655.283998473456,24321.924627986424,66.62688384194945,24388.551511828373,266.73248664508355
393.7000537109375,24472.849582332776,24323.358741618402,68.80861255793883,24392.16735417634,80.68222815643458
393.8000537109374,24405.156312077943,24324.792855250376,71.0989214744544,24395.89177672483,9.264535353111569
393.9000537109375,24710.666826838187,24326.226968882354,73.5051115187971,24399.73208040115,310.93474643703667
394.00005371093744,24262.614741078305,24327.66108251433,76.03510545569823,24403.69618797003,-141.08144689172332
394.10005371093735,24264.6056292852,24329.095196146303,78.69751229397879,24407.792708440284,-143.18707915508276
394.2000537109375,24450.819343674273,24330.52930977828,81.5016995800045,24412.031009358285,38.78833431598832
394.3000537109374,24408.22967841655,24331.963423410256,84.45787469645296,24416.42129810671,-8.191619690162042
394.4000537109375,24009.51724852686,24333.397537042234,87.57717646573921,24420.974713507974,-411.45746498111475
394.50005371093744,24325.37255149457,24334.831650674205,90.87177857091804,24425.703429245124,-100.33087775055537
394.60005371093735,24313.95099842736,24336.26576430618,94.35500656052822,24430.620770866706,-116.66977243934525
