binding_energy_eV,raw_intensity,background,component:imide_N-C=O,total_fit,residual
392.00005371093744,25094.004522373485,25094.004522373485,42.60646518807058,25136.610987561555,-42.606465188069706
392.10005371093735,25289.76040508132,25096.64800874943,43.70351954023983,25140.35152828967,149.40887679165098
392.2000537109375,25364.435306653082,25099.29149512538,44.84341579106632,25144.134910916448,220.30039573663453
392.3000537109374,25565.86785074891,25101.934981501327,46.02840963807535,25147.9633911394,417.9044596095082
392.4000537109375,25304.474476387553,25104.57846787728,47.260906909673565,25151.839374786952,152.63510160060105
392.50005371093744,25033.32990625169,25107.221954253226,48.54347569172599,25155.765429944953,-122.43552369326426
392.60005371093735,25437.903929995235,25109.865440629168,49.87885960997236,25159.74430023914,278.15962975609364
392.7000537109375,25326.081707447855,25112.50892700512,51.26999239555603,25163.778919400676,162.30278804717818
392.8000537109374,25295.908264587946,25115.152413381067,52.72001387699723,25167.872427258066,128.03583732988045
392.9000537109375,25275.54460768114,25117.795899757017,54.232287560167656,25172.028187317184,103.51642036395424
393.00005371093744,24668.745195584648,25120.439386132963,55.81041997852496,25176.24980611149,-507.50461052684113
393.10005371093735,25214.664305689923,25123.08287250891,57.45828201988043,25180.54115452879,34.12315116113314
393.2000537109375,25336.954629053555,25125.72635888486,59.180032463127596,25184.906391347984,152.0482377055705
393.3000537109374,25423.636749593188,25128.369845260804,60.980143989886585,25189.34998925069,234.28676034249656
393.4000537109375,25342.179367170516,25131.013331636757,62.86343197219648,25193.876763608954,148.30260356156214
393.50005371093744,25353.877717842715,25133.656818012703,64.83508637896219,25198.491904391667,155.3858134510483
393.60005371093735,25357.88778515633,25136.300304388646,66.90070719230569,25203.20101158095,154.68677357538036
393.7000537109375,25419.77441807954,25138.9437907646,69.06634378059628,25208.010134545195,211.76428353434676
393.8000537109374,25188.707490982688,25141.587277140545,71.33853873990061,25212.925815880444,-24.218324897756247
393.9000537109375,25132.568770513953,25144.230763516494,73.72437679101951,25217.955140307513,-85.38636979355942
394.00005371093744,25433.113738438857,25146.87424989244,76.23153940701013,25223.10578929945,210.00794913940626
394.10005371093735,25235.190292534506,25149.517736268386,78.86836594910618,25228.386102217493,6.804190317012399
394.2000537109375,25498.09007340822,25152.161222644336,81.6439222089936,25233.80514485333,264.28492855489094
394.3000537109374,25305.08253999763,25154.80470902028,84.56807739686725,25239.37278641715,65.70975358048236
394.4000537109375,25174.507285660857,25157.448195396235,87.65159078103565,25245.09978617727,-70.59250051641357
394.50005371093744,25418.709679471995,25160.09168177218,90.9062093808942,25250.997891153074,167.7117883189203
394.60005371093735,25015.267540900648,25162.735168148123,94.34477834772596,25257.07994649585,-241.81240559520302
394.7000537109375,25492.83987267261,25165.378654524076,97.98136594304067,25263.360020467117,229.47985220549526
394.8000537109374,25397.97826125919,25168.022140900022,101.83140535237162,25269.853546252394,128.1247150067975
394.9000537109375,25533.406010846338,25170.665627275972,105.91185596391726,25276.57748323989,256.8285276064489
395.00005371093744,25277.410325385023,25173.309113651918,110.2413872096778,25283.550500861595,-6.14017547657204
395.10005371093735,25350.837167630267,25175.952600027864,114.84058862987858,25290.793188657743,60.0439789725242
395.2000537109375,25538.19660107506,25178.596086403817,119.732210498808,25298.328296902626,239.86830417243254
395.3000537109374,25029.38751362562,25181.23957277976,124.94144016976199,25306.18101294952,-276.7934993238996
395.4000537109375,25271.017264208196,25183.883059155713,130.4962202904571,25314.37927944617,-43.36201523797354
395.50005371093744,24998.33973375662,25186.52654553166,136.42761624921118,25322.954161780868,-324.6144280242479
395.60005371093735,25487.686269731326,25189.170031907604,142.77024169015965,25331.940273597764,155.74599613356258
395.7000537109375,24790.49655318945,25191.813518283554,149.56275274660976,25341.376271030163,-550.8797178407149
395.8000537109374,24853.50854405895,25194.4570046595,156.8484238719768,25351.305428531476,-497.79688447252556
395.9000537109375,24676.769826936183,25197.10049103545,164.67582090396107,25361.77631193941,-685.0064850032286
396.00005371093744,25285.164305256232,25199.743977411395,173.09959041777927,25372.843567829175,-87.67926257294312
396.10005371093735,25501.190041659043,25202.38746378734,182.1813886891814,25384.56885247652,116.62118918252236
396.2000537109375,25325.952024052993,25205.030950163295,191.99097892630311,25397.0219290896,-71.06990503660563
396.3000537109374,25341.653324363117,25207.674436539237,202.60753214796893,25410.281968687206,-68.62864432408969
396.4000537109375,25494.895613727866,25210.31792291519,214.12117558532614,25424.439098500516,70.45651522734988
396.50005371093744,25300.678120127974,25212.961409291136,226.63484331015812,25439.596252601295,-138.91813247332175
396.60005371093735,25141.37948676615,25215.604895667082,240.2664977316506,25455.87139339873,-314.49190663258196
396.7000537109375,25588.78021996533,25218.24838204303,255.1518088693592,25473.40019091239,115.38002905293979
396.8000537109374,24923.919553567834,25220.891868418978,271.44740307122777,25492.339271490204,-568.4197179223702
396.9000537109375,25059.336054072814,25223.535354794927,289.3348284672166,25512.870183262145,-453.534129189331
397.00005371093744,25233.535750890023,25226.178841170873,309.02544058712084,25535.204281757993,-301.6685308679698
397.10005371093735,25152.903121505933,25228.82232754682,330.7665103018877,25559.588837848707,-406.68571634277396
397.2000537109375,25428.944025319455,25231.465813922772,354.849047368496,25586.314861291266,-157.37083597181118
397.3000537109374,25708.808950251874,25234.109300298715,381.618223996203,25615.727524294918,93.08142595695608
397.4000537109375,25316.67557749028,25236.752786674668,411.4880921256954,25648.240878800363,-331.56530131008185
397.50005371093744,25469.252608372513,25239.396273050614,444.9639228754518,25684.360195926067,-215.10758755355346
397.60005371093735,25093.728029834296,25242.03975942656,482.67864287082654,25724.718402297385,-630.9903724630894
397.7000537109375,25322.639383761507,25244.68324580251,525.4555046552946,25770.138750457805,-447.49936669629824
397.8000537109374,26221.218888035957,25247.326732178455,574.4184847673472,25821.7452169458,399.47367109015613
397.9000537109375,26035.499511853694,25249.970218554405,631.1857461079662,25881.155964662372,154.3435471913217
398.00005371093744,25971.784566082108,25252.61370493035,698.1990116871466,25950.812716617496,20.971849464611296
398.10005371093735,26390.327800047628,25255.257191306297,779.2584568485186,26034.515648154815,355.81215189281284
398.2000537109375,26353.46802673162,25257.90067768225,880.3384162501226,26138.239093932374,215.22893279924756
398.3000537109374,26380.208341347185,25260.544164058196,1010.736369012859,26271.280533071054,108.92780827613024
398.4000537109375,26548.85138011555,25263.187650434145,1184.534026326482,26447.721676760626,101.12970335492355
398.50005371093744,26711.395576732175,25265.83113681009,1422.2063490080086,26688.0374858181,23.358090914076456
398.60005371093735,27246.12729019356,25268.474623186037,1752.0029371395094,27020.477560325548,225.6497298680115
398.7000537109375,27655.705943305253,25271.118109561987,2210.486087072474,27481.60419663446,174.10174667079264
398.8000537109374,27872.201979335667,25273.761595937933,2841.4307088064916,28115.192304744425,-242.9903254087585
398.9000537109375,28827.98286876976,25276.405082313886,3692.3004650971984,28968.705547411086,-140.72267864132664
399.00005371093744,29825.008282380026,25279.04856868983,4807.824675860715,30086.873244550545,-261.864962170519
399.10005371093735,31139.119545698406,25281.692055065774,6220.818972902948,31502.51102796872,-363.39148227031546
399.2000537109375,33194.30665740926,25284.335541441727,7941.120989711889,33225.45653115361,-31.14987374435441
399.3000537109374,35477.014271057924,25286.979027817673,9943.914350433717,35230.89337825139,246.12089280653163
399.4000537109375,37613.65535373489,25289.622514193623,12158.314011685812,37447.936525879435,165.71882785545313
399.50005371093744,39870.24464338555,25292.26600056957,14456.11459742842,39748.38059799799,121.86404538756324
399.60005371093735,41830.823751229276,25294.909486945515,16641.580278483038,41936.48976542855,-105.6660141992761
399.7000537109375,43999.84032644388,25297.552973321464,18451.6351095131,43749.18808283456,250.65224360932189
399.8000537109374,44824.89449265437,25300.19645969741,19592.084039414516,44892.28049911193,-67.3860064575565
399.9000537109375,45122.12329707132,25302.839946073364,19832.24025643301,45135.080202506375,-12.956905435057706
400.00005371093744,44379.899650260995,25305.483432449306,19118.35969244364,44423.84312489294,-43.94347463194572
400.10005371093735,42388.05353588478,25308.12691882525,17604.77313886913,42912.90005769438,-524.8465218096026
400.2000537109375,40981.67916084321,25310.770405201205,15569.198710026962,40879.96911522817,101.71004561504378
400.3000537109374,38853.487773578614,25313.41389157715,13298.195719341878,38611.609610919026,241.87816265958827
400.4000537109375,36363.22556298386,25316.0573779531,11022.392170545809,36338.44954849891,24.77601448495261
400.50005371093744,34140.477560705986,25318.700864329046,8902.467509817581,34221.168374146626,-80.69081344064034
400.60005371093735,32805.45712515911,25321.344350704992,7036.3306584265465,32357.67500913154,447.78211602757074
400.7000537109375,31026.61577848726,25323.987837080942,5470.244264165891,30794.23210124683,232.38367724042837
400.8000537109374,29434.82168479309,25326.631323456888,4210.107784433027,29536.739107889916,-101.9174230968274
400.9000537109375,28229.861299532735,25329.27480983284,3233.0524126895907,28562.327222522432,-332.465922989697
401.00005371093744,27565.52180031133,25331.918296208787,2498.965505317212,27830.883801525997,-265.36200121466754
401.10005371093735,27069.748762668067,25334.56178258473,1960.7529160066563,27295.314698591385,-225.56593592331774
401.2000537109375,27144.16281108357,25337.205268960683,1572.1940266486854,26909.399295609368,234.763515474202
401.3000537109374,26673.443929826306,25339.84875533663,1292.8767218439289,26632.725477180556,40.718452645749494
401.4000537109375,26135.986355507674,25342.492241712578,1090.4129604952718,26432.90520220785,-296.9188467001768
401.50005371093744,26262.24879240034,25345.135728088524,940.6085249835484,26285.744253072073,-23.49546067173287
401.60005371093735,25938.368459664514,25347.77921446447,826.4090133393371,26174.188227803807,-235.81976813929214
401.7000537109375,26331.784941436854,25350.42270084042,736.3416948568619,26086.764395697282,245.0205457395714
401.8000537109374,26031.365838548452,25353.066187216366,662.948720686756,26016.01490790312,15.350930645330664
401.9000537109375,26279.81642268345,25355.70967359232,601.47352274974,25957.18319634206,322.6332263413897
402.00005371093744,26432.256581958893,25358.353159968265,548.883215145766,25907.23637511403,525.0202068448634
