binding_energy_eV,raw_intensity,background,component:carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22324.718396099608,22324.718396099608,331.22044255109023,105.55589494074248,22761.49473359144,-436.77633749183224
525.1000537109375,23242.960913490562,22356.578888851116,342.1607881263231,108.29336459180628,22807.033041569244,435.927871921318
525.2000537109375,22344.154421946037,22388.439381602624,353.64962396836717,111.13840761799388,22853.227413188986,-509.0729912429488
525.3000537109374,22635.221001804297,22420.299874354096,365.72404912099415,114.0967179146459,22900.120641389734,-264.8996395854374
525.4000537109374,22730.460530794986,22452.160367105604,378.42433619962645,117.17436995313223,22947.759073258363,-217.2985424633771
525.5000537109374,23030.91980703019,22484.02085985711,391.79426095323555,120.37784961776723,22996.192970428114,34.72683660207622
525.6000537109375,22385.290480024432,22515.88135260862,405.8814722099129,123.7140879875526,23045.476912806083,-660.1864327816511
525.7000537109375,22699.99781918115,22547.741845360128,420.73790792420067,127.19049838734982,23095.67025167168,-395.6724324905299
525.8000537109374,23000.213267630406,22579.6023381116,436.4202639652064,130.8150170738209,23146.837619150625,-146.62435152021862
525.9000537109374,22985.829257495076,22611.462830863107,452.99052337160066,134.59614796787184,23199.04950220258,-213.2202447075033
526.0000537109374,22284.518074024676,22643.323323614615,470.516555086032,138.5430118982473,23252.382890598896,-967.8648165742197
526.1000537109375,23243.392179822342,22675.183816366123,489.0727927094136,142.66540088172817,23306.922009957267,-63.52983013492485
526.2000537109375,22494.027926770257,22707.04430911763,508.74100563261294,146.97383803478073,23362.759152785024,-868.7312260147664
526.3000537109374,23111.97355420484,22738.904801869103,529.611177072786,151.47964379146217,23419.99562273335,-308.0220685285094
526.4000537109374,22855.93403986147,22770.76529462061,551.7825061382027,156.1950091943062,23478.74280995312,-622.8087700916512
526.5000537109374,22731.89017736475,22802.625787372115,575.3645541620724,161.133077130773,23539.12341866496,-807.2332413002114
526.6000537109375,22632.180248036562,22834.486280123623,600.4785593005352,166.30803251043073,23601.27287193459,-969.0926238980283
526.7000537109375,22770.08435613843,22866.34677287513,627.2589479248936,171.73520251953514,23665.34092331956,-895.256567181128
