binding_energy_eV,raw_intensity,background,component:Cl_2p3/2,component:Cl_2p1/2,total_fit,residual
190.00005371093744,1835.0351169106227,1835.0351169106227,48.34708580660118,17.97187074408498,1901.3540734613089,-66.31895655068615
190.10005371093735,1964.6142121361656,1849.0722871984244,49.32715050183792,18.285438938936764,1916.684876639199,47.92933549696659
190.20005371093748,1912.2293086958232,1863.109457486258,50.33729640500254,18.6072808780418,1932.0540347693022,-19.82472607347904
190.3000537109374,1825.7769710357086,1877.1466277740597,51.37876623483226,18.937690040453756,1947.4630840493458,-121.68611301363717
190.40005371093753,1932.5066230552495,1891.1837980618934,52.45286749774004,19.27697302585583,1962.9136385854893,-30.407015530239732
190.50005371093744,1931.6540582137197,1905.220968349695,53.56097658001212,19.625450264348288,1978.4073951940554,-46.75333698033569
190.60005371093735,1831.5438943273643,1919.2581386374968,54.70454314453013,19.983456771422787,1993.9461385534498,-162.4022442260855
190.70005371093748,1831.8190721416574,1933.2953089253303,55.8850948581038,20.35134295141833,2009.5317467348525,-177.71267459319506
190.8000537109374,1924.941289776435,1947.332479213132,57.1042424781339,20.72947545305573,2025.1661971443216,-100.22490736788654
190.90005371093753,1860.033334283475,1961.3696495009656,58.36368533016089,21.11823808095077,2040.8515729120772,-180.81823862860233
191.00005371093744,1841.3415930517215,1975.4068197887673,59.66521721090075,21.51803276730579,2056.590069766974,-215.24847671525254
191.10005371093735,1837.2681543943058,1989.443990076569,61.01073275501631,21.929280608388087,2072.384003439973,-235.11584904566735
191.20005371093748,1856.1708994641303,2003.4811603644025,62.40223430760893,22.35242297075173,2088.2358176427633,-232.06491817863298
191.3000537109374,1856.1546386448917,2017.5183306522044,63.84183934884784,22.787922672623743,2104.148092673676,-247.99345402878407
191.40005371093753,1873.4714038241477,2031.555500940038,65.33178852199934,23.23626524635441,2120.1235547083916,-246.65215088424384
191.50005371093744,1921.4720784881608,2045.5926712278397,66.87445432140645,23.697960288320424,2136.1650858375665,-214.69300734940566
191.60005371093735,1993.8756381139663,2059.629841515641,68.47235050319316,24.173542903300177,2152.2757349221347,-158.40009680816843
191.70005371093748,1863.2347286088077,2073.667011803475,70.12814228805419,24.66357525091967,2168.458729342449,-305.2240007336411
191.8000537109374,1819.2404764062983,2087.704182091277,71.84465743319399,25.16864820250083,2184.7174877269717,-365.47701132067345
191.90005371093753,1932.0057933916032,2101.74135237911,73.62489825900933,25.68938311741688,2201.0556337555363,-269.0498403639331
192.00005371093744,1824.6580053365542,2115.778522666912,75.47205472555233,26.226433748869553,2217.477011141334,-392.81900580477986
192.10005371093735,1934.5612276747117,2129.8156929547135,77.38951866480917,26.780488290005582,2233.985699909528,-299.42447223481645
192.20005371093748,1908.3361442681014,2143.8528632425473,79.38089928677284,27.352271572265888,2250.586034101586,-342.24988983348453
192.3000537109374,1934.2373905483726,2157.890033530349,81.45004009115033,27.942547429051388,2267.2826210505505,-333.0452305021779
192.40005371093753,1950.400352989985,2171.9272038181825,83.60103733207993,28.552121239067834,2284.0803623893303,-333.6800093993452
192.50005371093744,1920.1944278425235,2185.9643741059845,85.83826020064302,29.18184266507989,2300.9844769717074,-380.7900491291839
192.60005371093735,1896.5511978384607,2200.001544393786,88.16637291014735,29.832608605449813,2318.000525909383,-421.44932807092255
192.70005371093748,1911.6661084148275,2214.0387146816197,90.5903588915401,30.505366377509127,2335.134439950669,-423.46833153584134
192.8000537109374,1848.6205206657544,2228.075884969421,93.11554733223514,31.201117153803857,2352.39254945546,-503.7720287897057
192.90005371093753,1909.5436198157845,2242.113055257255,95.74764232101481,31.92091967442496,2369.7816172526946,-460.23799743691006
193.00005371093744,1931.9332174545339,2256.1502255450564,98.49275489498318,32.66589426099902,2387.308874701039,-455.37565724650494
193.10005371093735,1920.6545527552398,2270.1873958328583,101.35743832319228,33.437227160702555,2404.982061316753,-484.32750856151324
193.20005371093748,1945.6628910250977,2284.2245661206916,104.34872700516,34.236175251597736,2422.8094683774493,-477.14657735235164
193.3000537109374,1857.1562678949927,2298.2617364084936,107.47417941309972,35.06407114402638,2440.7999869656196,-583.643719070627
193.40005371093753,1941.5911910257826,2312.2989066963273,110.7419255646656,35.922328716598244,2458.963160977591,-517.3719699518085
193.50005371093744,2019.0659811232183,2326.336076984129,114.16071957954844,36.81244912950388,2477.3092456931813,-458.243264569963
193.60005371093735,1916.30210926821,2340.3732472719307,117.73999795074468,37.73602736277536,2495.8492725854508,-579.5471633172408
193.70005371093748,1912.4201800888757,2354.410417559764,121.48994425012097,38.69475933240598,2514.5951211422907,-602.1749410534151
193.8000537109374,1949.6288881958617,2368.447587847566,125.42156109154122,39.690449643385556,2533.5595985824925,-583.9307103866308
193.90005371093753,1888.880319929149,2382.4847581353997,129.54675029498796,40.72502004557667,2552.7565284759644,-663.8762085468154
194.00005371093744,1980.9882094066877,2396.521928423201,133.87840233467998,41.80051866603903,2572.2008494239203,-591.2126400172326
194.10005371093735,1984.3728632788793,2410.5590987110027,138.43049631794065,42.91913010032054,2591.908725129264,-607.5358618503847
194.20005371093748,1914.8495642687963,2424.5962689988364,143.21821193207217,44.08318645507536,2611.897667385984,-697.0481031171876
194.3000537109374,1914.0512885958972,2438.6334392866383,148.25805502078646,45.295179445769,2632.1866737531936,-718.1353851572965
194.40005371093753,1898.9657626732728,2452.6706095744717,153.56799871512573,46.5577736661194,2652.7963819557167,-753.8306192824439
194.50005371093744,1951.8607538085691,2466.7077798622736,159.16764235380873,47.87382116050627,2673.7492433765888,-721.8884895680196
194.60005371093735,1933.5505566621164,2480.744950150075,165.07839079544226,49.246377447490396,2695.069718393008,-761.5191617308915
194.70005371093748,1909.7494930117998,2494.782120437909,171.3236571592052,50.678719161598224,2716.784496758712,-807.0350037469123
194.8000537109374,1915.4474600394412,2508.8192907257107,177.92909254779937,52.1743635025787,2738.922746776089,-823.4752867366476
194.90005371093753,1868.0222918243644,2522.856461013544,184.92284692255726,53.73708970655214,2761.5163976426534,-893.494105818289
195.00005371093744,2079.8511659349565,2536.893631301346,192.33586603666234,55.37096278233138,2784.60046012034,-704.7492941853834
195.10005371093735,2006.5516178572109,2550.9308015891474,200.20223021676537,57.080359789772736,2808.2133915956856,-801.6617737384747
195.20005371093748,2056.060118198497,2564.967971876981,208.55954184562552,58.86999897537495,2832.3975126979817,-776.3373944994846
195.3000537109374,2053.502322063692,2579.0051421647827,217.44936968261567,60.74497212505885,2857.199483972457,-803.6971619087649
195.40005371093753,1966.7790572095735,2593.0423124526164,226.91775971437883,62.710780545773474,2882.670852712769,-915.8917955031955
195.50005371093744,2052.396326267709,2607.079482740418,237.01582411853613,64.77337514749217,2908.8686820064463,-856.4723557387374
195.60005371093735,1984.6254912771378,2621.11665302822,247.8004222329311,66.9392011673381,2935.856276428489,-951.230785151351
195.70005371093748,1997.615833034837,2635.1538233160536,259.3349502503358,69.21524815897365,2963.704021725363,-966.0881886905261
195.8000537109374,2051.2485412429314,2649.190993603855,271.690259839012,71.609105966034,2992.490359408901,-941.2418181659696
195.90005371093753,2004.408566436042,2663.228163891689,284.94573018843766,74.12902751039691,3022.3029215905235,-1017.8943551544814
196.00005371093744,2036.5655181635796,2677.2653341794903,299.19052331210327,76.78399935756053,3053.239856849154,-1016.6743386855744
196.10005371093735,2053.06624071452,2691.3025044672922,314.52505908808416,79.58382117690192,3085.4113847322783,-1032.3451440177582
196.20005371093748,2007.9322913194565,2705.3396747551255,331.062754839765,82.53919539772544,3118.941624992616,-1111.0093336731597
196.3000537109374,2087.3450927639165,2719.3768450429275,348.9320847324526,85.66182857959986,3153.97075835498,-1066.6256655910634
196.40005371093753,2089.393825345935,2733.414015330761,368.2790275048553,88.96454627390452,3190.657589109521,-1101.2637637635858
196.50005371093744,2129.0960829078726,2747.4511856185627,389.2699878876029,92.46142346127557,3229.182596967441,-1100.0865140595683
196.60005371093735,2302.578089473383,2761.4883559063646,412.0952985802931,96.1679330183279,3269.7515875049858,-967.1734980316028
196.70005371093748,2134.952330965092,2775.525526194198,436.9734373144188,100.10111510838846,3312.6000786170052,-1177.647747651913
196.8000537109374,2234.1044313970974,2789.5626964819994,464.15612929290586,104.27977092280908,3357.998596697714,-1123.8941653006168
196.90005371093753,2256.557916004755,2803.599866769833,493.9345518233231,108.72468484131439,3406.2591034344705,-1149.7011874297154
197.00005371093744,2276.322516255602,2817.637037057635,526.6469188860386,113.45887985718525,3457.742835800859,-1181.4203195452574
197.10005371093735,2308.584142961555,2831.674207345437,562.6878037469801,118.5079120592636,3512.8699231516807,-1204.285780190126
197.20005371093748,2446.3872369497726,2845.7113776332703,602.5196646970694,123.90021111647347,3572.1312534468134,-1125.7440164970408
197.3000537109374,2442.7303361589493,2859.748547921072,646.6871834367406,129.6674751251628,3636.103206482975,-1193.3728703240258
197.40005371093753,2390.0229583162213,2873.7857182089056,695.8352260355113,135.84512991951513,3705.466074163932,-1315.4431158477105
197.50005371093744,2449.9971999479717,2887.8228884967075,750.7315305906229,142.47286509421298,3781.027284181543,-1331.0300842335714
197.60005371093735,2636.5704141816072,2901.860058784509,812.2957049928243,149.59526165604535,3863.7510254333783,-1227.180611251771
