binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:methoxy_O,component:acid_hydroxyl_OH,total_fit,residual
525.0000537109374,22266.477176681034,21733.361193939567,286.47318817553656,112.32207162742213,99.11994348156077,5.171933053126167,22236.448330277213,30.028846403820353
525.1000537109375,21786.36859106832,21733.361193939567,296.2606773904522,115.47629968036507,101.67724482540739,5.283184838783374,22252.058600674576,-465.69000960625635
525.2000537109375,21900.60518788843,21733.361193939567,306.55612243708805,118.76487162494803,104.33454879827704,5.398058855248567,22268.414795655128,-367.8096077666996
525.3000537109374,22276.87022189765,21733.361193939567,317.39511858810795,122.19550191155132,107.09712427660315,5.516713785196995,22285.565652501027,-8.695430603376735
525.4000537109374,21958.26720984522,21733.361193939567,328.81641844984745,125.77646492401432,109.9705907992632,5.639317080469981,22303.563985193163,-345.29677534794246
525.5000537109374,22152.877647520323,21733.361193939567,340.8622722435089,129.51664429538693,112.96094686890628,5.766045548956728,22322.467102896328,-169.58945537600448
525.6000537109375,22243.763455115295,21733.361193939567,353.5788114015455,133.42558734774477,116.07460094634274,5.897085987725028,22342.337279622923,-98.57382450762816
525.7000537109375,21992.644688963257,21733.361193939567,367.01648185671013,137.51356527123997,119.31840543390962,6.0326358666025754,22363.242282368028,-370.59759340477103
525.8000537109374,22326.540352819935,21733.361193939567,381.23053447032527,141.79163974165863,122.69969398076387,6.172904066847002,22385.25596619916,-58.71561337922685
525.9000537109374,21297.727727178553,21733.361193939567,396.28158131647655,146.27173677267265,126.22632248522491,6.31811168002708,22408.45894619397,-1110.7312190154153
526.0000537109374,21442.136876754812,21733.361193939567,412.236228052018,150.9667287108744,129.9067142173695,6.468492872774998,22432.939357792602,-990.8024810377901
526.1000537109375,22232.404586603163,21733.361193939567,429.16779441162413,155.8905254115492,133.7499095403197,6.624295823679985,22458.79371912674,-226.38913252357816
526.2000537109375,21983.59498480383,21733.361193939567,447.15713703459977,161.05817578347876,137.76562077168947,6.785783739265186,22486.1279112686,-502.53292646476984
526.3000537109374,22111.927779825346,21733.361193939567,466.29359143706756,166.48598106619082,141.9642927992557,6.953235956752186,22515.058295198833,-403.13051537348656
526.4000537109374,22198.17126018359,21733.361193939567,486.6760530869227,172.19162140707354,146.35717014835905,7.126949142170209,22545.71298772409,-347.5417275405016
526.5000537109374,22007.490991770366,21733.361193939567,508.41422134231567,178.19429754393312,150.95637129461156,7.307238593321492,22578.23332271375,-570.7423309433834
526.6000537109375,22137.457070933735,21733.361193939567,531.6300346332386,184.5148896777823,155.77497112671492,7.4944396581996795,22612.7755290355,-475.31845810176674
526.7000537109375,22049.577673970623,21733.361193939567,556.4593308915007,191.1761359478604,160.82709259254798,7.688909280667421,22649.512662652145,-599.9349886815216
526.8000537109374,22314.769825620067,21733.361193939567,583.0537741165077,198.20283330622485,166.12800871080702,7.891027686575642,22688.63683775968,-373.8670121396135
526.9000537109374,22212.112799219165,21733.361193939567,611.583096419476,205.62206404361626,171.69425630367172,8.101200225058909,22730.36181093139,-518.2490117122252
527.0000537109374,22430.04115160184,21733.361193939567,642.2377153380011,213.46345175540722,177.54376300753273,8.319859381493256,22774.925983422,-344.8848318201599
527.1000537109375,22540.750933113675,21733.361193939567,675.2317992432041,221.75945117374854,183.69598935442858,8.547466980602604,22822.59590069155,-281.84496757787565
527.2000537109375,21502.82449950626,21733.361193939567,710.8068701430067,230.54567704911358,190.17208799202044,8.784516600453648,22873.67034572416,-1370.8458462179005
527.3000537109374,21519.884084965382,21733.361193939567,749.236054561914,239.86127816756795,196.9950824329795,9.031536220656053,22928.485145322684,-1408.6010603573013
527.4000537109374,21838.072260988552,21733.361193939567,790.8291220729335,249.74936366982033,204.19006810427274,9.289091131015933,22987.41883891761,-1149.3465779290564
527.5000537109374,22216.23476585835,21733.361193939567,835.9384926272537,260.25749013275913,211.7844389139926,9.557787130229054,23050.899402743802,-834.6646368854526
527.6000537109375,22638.331799955693,21733.361193939567,884.966458594521,271.4382194322349,219.8081430821277,9.838274048032838,23119.412289096483,-481.0804891407897
527.7000537109375,22336.845288275614,21733.361193939567,938.3739769199624,283.3497592852383,228.29397260740816,10.13124962860385,23193.51015238078,-856.6648641051652
527.8000537109374,22643.04130769316,21733.361193939567,996.6915841958001,296.056700645662,237.27789148605868,10.437463818014104,23273.824834085102,-630.7835263919405
527.9000537109374,22509.519297626728,21733.361193939567,1060.5333560414877,309.63086889259665,246.7994086839353,10.757723504330885,23361.082551061918,-851.5632534351898
