binding_energy_eV,raw_intensity,background,component:imide_N-C=O,total_fit,residual
392.3561077204606,25094.004522373485,25094.004522373485,42.60646518807058,25136.610987561555,-42.606465188069706
392.4561077204605,25289.76040508132,25096.64800874943,43.70351954023983,25140.35152828967,149.40887679165098
392.55610772046066,25364.435306653082,25099.29149512538,44.84341579106632,25144.134910916448,220.30039573663453
392.65610772046057,25565.86785074891,25101.934981501327,46.02840963807535,25147.9633911394,417.9044596095082
392.7561077204607,25304.474476387553,25104.57846787728,47.260906909673565,25151.839374786952,152.63510160060105
392.8561077204606,25033.32990625169,25107.221954253226,48.54347569172599,25155.765429944953,-122.43552369326426
392.9561077204605,25437.903929995235,25109.865440629168,49.87885960997236,25159.74430023914,278.15962975609364
393.05610772046066,25326.081707447855,25112.50892700512,51.26999239555603,25163.778919400676,162.30278804717818
393.15610772046057,25295.908264587946,25115.152413381067,52.72001387699723,25167.872427258066,128.03583732988045
393.2561077204607,25275.54460768114,25117.795899757017,54.232287560167656,25172.028187317184,103.51642036395424
393.3561077204606,24668.745195584648,25120.439386132963,55.81041997852496,25176.24980611149,-507.50461052684113
393.4561077204605,25214.664305689923,25123.08287250891,57.45828201988043,25180.54115452879,34.12315116113314
393.55610772046066,25336.954629053555,25125.72635888486,59.180032463127596,25184.906391347984,152.0482377055705
393.65610772046057,25423.636749593188,25128.369845260804,60.980143989886585,25189.34998925069,234.28676034249656
393.7561077204607,25342.179367170516,25131.013331636757,62.86343197219648,25193.876763608954,148.30260356156214
393.8561077204606,25353.877717842715,25133.656818012703,64.83508637896219,25198.491904391667,155.3858134510483
393.9561077204605,25357.88778515633,25136.300304388646,66.90070719230569,25203.20101158095,154.68677357538036
394.05610772046066,25419.77441807954,25138.9437907646,69.06634378059628,25208.010134545195,211.76428353434676
394.15610772046057,25188.707490982688,25141.587277140545,71.33853873990061,25212.925815880444,-24.218324897756247
394.2561077204607,25132.568770513953,25144.230763516494,73.72437679101951,25217.955140307513,-85.38636979355942
394.3561077204606,25433.113738438857,25146.87424989244,76.23153940701013,25223.10578929945,210.00794913940626
394.4561077204605,25235.190292534506,25149.517736268386,78.86836594910618,25228.386102217493,6.804190317012399
394.55610772046066,25498.09007340822,25152.161222644336,81.6439222089936,25233.80514485333,264.28492855489094
394.65610772046057,25305.08253999763,25154.80470902028,84.56807739686725,25239.37278641715,65.70975358048236
394.7561077204607,25174.507285660857,25157.448195396235,87.65159078103565,25245.09978617727,-70.59250051641357
